"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2749","2742","2726.75","2764.25","2772.5","2787.75"
"6E","1.2338","1.23055","1.22305","1.2413","1.24555","1.25305"
"6B","139.49","139.02","138.11","140.4","140.84","141.75"
"6J","94.57","94.275","93.62","95.225","95.585","96.24"
"6A","76.84","76.51","75.57","77.78","78.39","79.33"
"6C","76.395","76.29","75.99","76.695","76.89","77.19"
"NG","2.673","2.657","2.628","2.702","2.715","2.744"
"CL","61.52","60.62","59.19","62.95","63.48","64.91"
"RB","193.03","190.34","185.95","197.42","199.12","203.51"
"SI","16.15","16.035","15.75","16.435","16.605","16.89"
"HG","308.35","305.9","300.25","314","317.2","322.85"
"GC","1307.5","1302.6","1290.7","1319.4","1326.4","1338.3"
"ZT","106.203125","106.1875","106.140625","106.25","106.28125","106.328125"
"ZF","113.9375","113.8671875","113.6796875","114.125","114.2421875","114.4296875"
"ZN","120.21875","120.078125","119.75","120.546875","120.734375","121.0625"
"ZB","144.03125","143.65625","142.65625","145.03125","145.65625","146.65625"
"UB","156.84375","156.3125","154.90625","158.25","159.125","160.53125"
"ZC","380.75","379","374","385.75","389","394"
"ZS","1043","1036.75","1027.25","1052.5","1055.75","1065.25"
"ZW","462.5","457.5","442.75","477.25","487","501.75"
"TN","128.359375","128.140625","127.609375","128.890625","129.203125","129.734375"
"6S","105.51","105.2","104.51","106.2","106.58","107.27"
"NQ","7025.75","7007.25","6960.25","7072.75","7101.25","7148.25"
"NIY","21275","21140","20810","21605","21800","22130"
"YM","24859","24754","24555","25058","25152","25351"
"FGBL","158","157.82","157.47","158.35","158.52","158.87"
"FGBX","162.64","162.22","161.48","163.38","163.7","164.44"
"FDAX","12354","12293","12180.5","12466.5","12518","12630.5"
"FBTP","136.06","135.79","135.14","136.71","137.09","137.74"
"FOAT","152.96","152.82","152.54","153.24","153.38","153.66"
"FESX","3330","3309","3274","3365","3379","3414"
"R","121.73","121.54","121.16","122.11","122.3","122.68"
"Z","7043","7009","6945.5","7106.5","7136","7199.5"
