"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2714.75","2695.75","2666","2744.5","2755.25","2785"
"6E","1.16295","1.15845","1.1491","1.1723","1.17715","1.1865"
"6B","132.89","132.24","131.19","133.94","134.34","135.39"
"6J","91.055","90.715","89.875","91.895","92.395","93.235"
"6A","75.35","74.99","74.44","75.9","76.09","76.64"
"6C","76.935","76.75","76.36","77.325","77.53","77.92"
"NG","2.937","2.911","2.863","2.985","3.007","3.055"
"CL","65.12","64.42","62.62","66.92","68.02","69.82"
"RB","212.66","210.97","207.01","216.62","218.89","222.85"
"SI","16.355","16.27","16.11","16.515","16.59","16.75"
"HG","307.05","304.2","299.95","311.3","312.7","316.95"
"GC","1293.9","1288.6","1278","1304.5","1309.8","1320.4"
"ZT","105.90625","105.84375","105.6875","106.0625","106.15625","106.3125"
"ZF","113.328125","113.140625","112.71875","113.75","113.984375","114.40625"
"ZN","119.578125","119.296875","118.6875","120.1875","120.515625","121.125"
"ZB","143.4375","142.96875","141.9375","144.46875","145.03125","146.0625"
"UB","157.1875","156.53125","155.1875","158.53125","159.21875","160.5625"
"ZC","389.5","387.25","381.5","395.25","398.75","404.5"
"ZS","1015.75","1010","999.25","1026.5","1031.5","1042.25"
"ZW","518.25","513.5","504","527.75","532.5","542"
"TN","127.21875","126.859375","126.09375","127.984375","128.390625","129.15625"
"6S","100.91","100.58","99.85","101.64","102.04","102.77"
"NQ","7011.75","6940.25","6830","7122","7160.75","7271"
"NIY","22165","21960","21650","22475","22580","22890"
"YM","24479","24328","24078","24729","24828","25078"
"FGBL","160.99","160.58","159.81","161.76","162.12","162.89"
"FGBX","174.76","173.72","171.82","176.66","177.52","179.42"
"FDAX","12621","12547.5","12388","12780.5","12866.5","13026"
"FBTP","124.93","123.83","121.19","127.57","129.11","131.75"
"FOAT","152.68","152.34","151.54","153.48","153.94","154.74"
"FESX","3421","3400","3359","3462","3482","3523"
"R","122.62","122.33","121.77","123.18","123.45","124.01"
"Z","7660","7635","7573","7722","7759","7821"
