"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2606.75","2587.5","2558.25","2636","2646","2675.25"
"6E","1.1817","1.1784","1.1694","1.1907","1.1964","1.2054"
"6B","132.77","131.73","130.11","134.39","134.97","136.59"
"6J","89.5","89.305","88.76","90.045","90.395","90.94"
"6A","75.83","75.7","75.4","76.13","76.3","76.6"
"6C","77.88","77.72","77.295","78.305","78.57","78.995"
"NG","3.055","2.981","2.859","3.177","3.225","3.347"
"CL","57.63","57.28","56.71","58.2","58.42","58.99"
"RB","175.79","174.71","172.24","178.26","179.65","182.12"
"SI","16.785","16.65","16.32","17.115","17.31","17.64"
"HG","307.45","305.05","298.5","314","318.15","324.7"
"GC","1295.7","1292.1","1286","1301.8","1304.3","1310.4"
"ZT","107.4375","107.40625","107.34375","107.5","107.53125","107.59375"
"ZF","116.8515625","116.796875","116.640625","117.0078125","117.109375","117.265625"
"ZN","124.875","124.765625","124.484375","125.15625","125.328125","125.609375"
"ZB","153.9375","153.625","152.875","154.6875","155.125","155.875"
"UB","167.1875","166.6875","165.65625","168.21875","168.75","169.78125"
"ZC","348.75","347.5","344.5","351.75","353.5","356.5"
"ZS","988.5","983.75","975.25","997","1000.75","1009.25"
"ZW","425.5","421.5","414.75","432.25","435","441.75"
"TN","134.140625","134","133.625","134.515625","134.75","135.125"
"6S","101.5","101.29","100.77","102.02","102.33","102.85"
"NQ","6397.25","6374.5","6336.25","6435.5","6451","6489.25"
"NIY","22455","22280","22010","22725","22820","23090"
"YM","23614","23418","23117","23915","24020","24321"
"FGBL","163","162.82","162.49","163.33","163.48","163.81"
"FGBX","167.26","166.9","166.24","167.92","168.22","168.88"
"FDAX","12975.5","12894","12737.5","13132","13207","13363.5"
"FBTP","140.28","140.08","139.62","140.74","141","141.46"
"FOAT","158.68","158.53","158.22","158.99","159.15","159.46"
"FESX","3559","3535","3490","3604","3625","3670"
"R","124.94","124.57","123.94","125.57","125.83","126.46"
"Z","7408","7350","7260","7498","7530","7620"
