"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2679","2665","2634","2710","2727","2758"
"6E","1.23635","1.23385","1.227","1.2432","1.24755","1.2544"
"6B","140.51","139.91","138.18","142.24","143.37","145.1"
"6J","93.31","93.185","92.9","93.595","93.755","94.04"
"6A","76.92","76.59","75.66","77.85","78.45","79.38"
"6C","78.82","78.625","78.08","79.365","79.715","80.26"
"NG","2.63","2.601","2.513","2.718","2.777","2.865"
"CL","67.74","67.16","65.7","69.2","70.08","71.54"
"RB","207.19","206.1","203.68","209.61","210.94","213.36"
"SI","17.115","16.985","16.735","17.365","17.485","17.735"
"HG","310.05","306.9","299.25","317.7","322.2","329.85"
"GC","1342.4","1336","1322.1","1356.3","1363.8","1377.7"
"ZT","106.046875","106.015625","105.96875","106.09375","106.109375","106.15625"
"ZF","113.5078125","113.4140625","113.1953125","113.7265625","113.8515625","114.0703125"
"ZN","119.625","119.4375","118.96875","120.09375","120.375","120.84375"
"ZB","143.125","142.5","140.96875","144.65625","145.5625","147.09375"
"UB","155.96875","155.03125","152.84375","158.15625","159.40625","161.59375"
"ZC","380.75","379.5","377","383.25","384.5","387"
"ZS","1032","1026.5","1014.75","1043.75","1050","1061.75"
"ZW","472.5","468.25","460.5","480.25","483.75","491.5"
"TN","127.765625","127.4375","126.671875","128.53125","128.96875","129.734375"
"6S","103.14","102.94","102.36","103.72","104.1","104.68"
"NQ","6735.75","6691.25","6581.75","6845.25","6910.25","7019.75"
"NIY","22015","21885","21590","22310","22475","22770"
"YM","24514","24392","24139","24767","24898","25151"
"FGBL","157.82","157.48","156.55","158.75","159.34","160.27"
"FGBX","162.3","161.66","159.96","164","165.06","166.76"
"FDAX","12533","12488","12396.5","12624.5","12671","12762.5"
"FBTP","138.7","138.42","137.66","139.46","139.94","140.7"
"FOAT","153.06","152.74","151.88","153.92","154.46","155.32"
"FESX","3400","3388","3365","3423","3434","3457"
"R","120.99","120.63","119.7","121.92","122.49","123.42"
"Z","7243","7212","7153","7302","7330","7389"
