"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2852.25","2842.75","2822.5","2872.5","2883.25","2903.5"
"6E","1.1528","1.1461","1.13475","1.16415","1.1688","1.18015"
"6B","128.36","127.56","126.26","129.66","130.16","131.46"
"6J","90.48","90.235","89.605","91.11","91.495","92.125"
"6A","73.39","73.13","72.66","73.86","74.07","74.54"
"6C","76.575","76.47","76.215","76.83","76.98","77.235"
"NG","2.958","2.937","2.9","2.995","3.011","3.048"
"CL","65.3","64.75","63.62","66.43","67.01","68.14"
"RB","190.08","189.05","186.48","192.65","194.19","196.76"
"SI","14.705","14.645","14.525","14.825","14.885","15.005"
"HG","267.2","264.9","261.05","271.05","272.6","276.45"
"GC","1195.2","1190.3","1181.3","1204.2","1208.3","1217.3"
"ZT","105.8125","105.796875","105.75","105.859375","105.890625","105.9375"
"ZF","113.640625","113.5703125","113.40625","113.8046875","113.8984375","114.0625"
"ZN","120.328125","120.21875","119.9375","120.609375","120.78125","121.0625"
"ZB","144.8125","144.5","143.84375","145.46875","145.8125","146.46875"
"UB","158.8125","158.375","157.4375","159.75","160.25","161.1875"
"ZC","372","370","365","377","380","385"
"ZS","881.25","876.25","865","892.5","898.75","910"
"ZW","521","514.75","497.25","538.5","549.75","567.25"
"TN","128.234375","128.078125","127.703125","128.609375","128.828125","129.203125"
"6S","101.29","100.85","100.15","101.99","102.25","102.95"
"NQ","7361","7324.25","7242.5","7442.75","7487.75","7569.5"
"NIY","22110","21915","21595","22430","22555","22875"
"YM","25726","25645","25485","25886","25965","26125"
"FGBL","163.05","162.85","162.33","163.57","163.89","164.41"
"FGBX","178.7","178.26","177.1","179.86","180.58","181.74"
"FDAX","12315.5","12252","12134.5","12433","12487","12604.5"
"FBTP","124.07","123.35","122.16","125.26","125.73","126.92"
"FOAT","154.61","154.5","154.22","154.89","155.06","155.34"
"FESX","3392","3371","3335","3428","3443","3479"
"R","123.18","122.99","122.46","123.71","124.05","124.58"
"Z","7542","7518.5","7469.5","7591","7616.5","7665.5"
