"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2809.75","2796.75","2770","2836.5","2850.25","2877"
"6E","1.24535","1.23695","1.2235","1.2588","1.26385","1.2773"
"6B","142.14","141.4","140.23","143.31","143.74","144.91"
"6J","91.34","91.065","90.52","91.885","92.155","92.7"
"6A","79.92","79.5","78.71","80.71","81.08","81.87"
"6C","81.235","80.945","80.465","81.715","81.905","82.385"
"NG","2.805","2.754","2.618","2.941","3.026","3.162"
"CL","64.89","63.98","62.41","66.46","67.12","68.69"
"RB","188","186.41","183.38","191.03","192.47","195.5"
"SI","17.03","16.905","16.61","17.325","17.495","17.79"
"HG","318.9","316.9","313.25","322.55","324.2","327.85"
"GC","1340.9","1333.9","1320.3","1354.5","1361.1","1374.7"
"ZT","106.5625","106.53125","106.46875","106.625","106.65625","106.71875"
"ZF","114.4453125","114.34375","114.1015625","114.6875","114.828125","115.0703125"
"ZN","121","120.765625","120.21875","121.546875","121.859375","122.40625"
"ZB","145.75","144.96875","143.09375","147.625","148.71875","150.59375"
"UB","159.03125","157.9375","155.375","161.59375","163.0625","165.625"
"ZC","359.75","357.5","354.25","363","364","367.25"
"ZS","976.25","967.75","949.5","994.5","1004.25","1022.5"
"ZW","445.75","440.25","431.75","454.25","457.25","465.75"
"TN","129.203125","128.828125","127.921875","130.109375","130.640625","131.546875"
"6S","107.59","107.02","106.07","108.54","108.92","109.87"
"NQ","6861.75","6824.75","6725","6961.5","7024.25","7124"
"NIY","23170","23055","22785","23440","23595","23865"
"YM","25977","25783","25440","26320","26469","26812"
"FGBL","158.25","157.89","157.27","158.87","159.13","159.75"
"FGBX","160.1","159.28","157.84","161.54","162.16","163.6"
"FDAX","12836","12703","12343.5","13195.5","13422","13781.5"
"FBTP","135.96","135.16","133.85","137.27","137.78","139.09"
"FOAT","152.52","152.19","151.62","153.09","153.33","153.9"
"FESX","3544","3520","3452","3612","3656","3724"
"R","121.58","121.37","121.02","121.93","122.07","122.42"
"Z","7393.5","7359","7268","7484.5","7541","7632"
