"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2621.75","2599.25","2563.75","2657.25","2670.25","2705.75"
"6E","1.2192","1.21605","1.20825","1.227","1.23165","1.23945"
"6B","139.43","139.13","138.41","140.15","140.57","141.29"
"6J","91.54","91.325","90.77","92.095","92.435","92.99"
"6A","75.42","75.2","74.66","75.96","76.28","76.82"
"6C","77.67","77.415","76.96","78.125","78.325","78.78"
"NG","2.787","2.766","2.727","2.826","2.844","2.883"
"CL","67.43","66.82","65.86","68.39","68.74","69.7"
"RB","207.96","206.44","203.79","210.61","211.74","214.39"
"SI","16.49","16.405","16.17","16.725","16.875","17.11"
"HG","314","312.3","308.85","317.45","319.2","322.65"
"GC","1317.7","1312.5","1299.3","1330.9","1338.9","1352.1"
"ZT","105.96875","105.9375","105.875","106.03125","106.0625","106.125"
"ZF","113.21875","113.1328125","112.984375","113.3671875","113.4296875","113.578125"
"ZN","118.9375","118.8125","118.53125","119.21875","119.375","119.65625"
"ZB","141.34375","140.96875","140.03125","142.28125","142.84375","143.78125"
"UB","153.59375","153.0625","151.78125","154.875","155.625","156.90625"
"ZC","391.25","386.75","379.75","398.25","400.75","407.75"
"ZS","1031.5","1024","1010","1045.5","1052","1066"
"ZW","488.5","478","461.25","505.25","511.5","528.25"
"TN","126.703125","126.5","126.03125","127.171875","127.4375","127.90625"
"6S","101.92","101.64","101.02","102.54","102.88","103.5"
"NQ","6466","6376.25","6231.75","6610.5","6665.25","6809.75"
"NIY","22130","21975","21730","22375","22465","22710"
"YM","23882","23686","23381","24187","24296","24601"
"FGBL","157.5","157.29","156.91","157.88","158.05","158.43"
"FGBX","161.36","161","160.32","162.04","162.36","163.04"
"FDAX","12333.5","12243","12072.5","12504","12584","12754.5"
"FBTP","138.77","138.52","137.97","139.32","139.62","140.17"
"FOAT","152.64","152.45","152.06","153.03","153.23","153.62"
"FESX","3401","3385","3357","3429","3441","3469"
"R","120.82","120.61","120.28","121.15","121.27","121.6"
"Z","7288.5","7250","7180.5","7358","7389","7458.5"
