"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2605.5","2575.5","2504.25","2676.75","2718","2789.25"
"6E","1.2246","1.22075","1.21465","1.2307","1.23295","1.23905"
"6B","139.63","139.24","138.58","140.29","140.56","141.22"
"6J","92.015","91.69","91.16","92.545","92.75","93.28"
"6A","75.84","75.68","75.34","76.18","76.36","76.7"
"6C","77.865","77.725","77.465","78.125","78.245","78.505"
"NG","2.744","2.707","2.648","2.803","2.825","2.884"
"CL","67.06","66.41","64.62","68.85","69.99","71.78"
"RB","208.31","206.66","202.29","212.68","215.4","219.77"
"SI","16.59","16.48","16.3","16.77","16.84","17.02"
"HG","310.6","307.05","300.5","317.15","320.15","326.7"
"GC","1326.7","1320.5","1310.5","1336.7","1340.5","1350.5"
"ZT","106","105.953125","105.890625","106.0625","106.078125","106.140625"
"ZF","113.28125","113.1640625","112.9921875","113.453125","113.5078125","113.6796875"
"ZN","119.15625","119","118.703125","119.453125","119.59375","119.890625"
"ZB","142.125","141.71875","140.75","143.09375","143.65625","144.625"
"UB","154.5","153.8125","152.1875","156.125","157.0625","158.6875"
"ZC","387.25","384.5","380.25","391.5","393","397.25"
"ZS","1029","1023.75","1014.25","1038.5","1042.75","1052.25"
"ZW","473","462","445.25","489.75","495.5","512.25"
"TN","127.109375","126.875","126.390625","127.59375","127.84375","128.328125"
"6S","102.4","102.17","101.73","102.84","103.05","103.49"
"NQ","6427.5","6328.25","6084.25","6671.5","6816.25","7060.25"
"NIY","21915","21750","21370","22295","22510","22890"
"YM","23666","23349","22573","24442","24901","25677"
"FGBL","157.45","157.14","156.54","158.05","158.34","158.94"
"FGBX","161.12","160.44","159.2","162.36","162.92","164.16"
"FDAX","12408","12266.5","12001.5","12673","12796.5","13061.5"
"FBTP","138.65","138.24","137.46","139.43","139.8","140.58"
"FOAT","152.65","152.36","151.77","153.24","153.54","154.13"
"FESX","3405","3376","3324","3457","3480","3532"
"R","120.77","120.5","119.91","121.36","121.68","122.27"
"Z","7315.5","7265.5","7183","7398","7430.5","7513"
