"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2720.25","2705.75","2674.25","2751.75","2768.75","2800.25"
"6E","1.238","1.23205","1.21625","1.2538","1.26365","1.27945"
"6B","139.8","139.22","137.75","141.27","142.16","143.63"
"6J","93.95","93.69","92.975","94.665","95.12","95.835"
"6A","78.7","78.35","77.42","79.63","80.21","81.14"
"6C","79.42","79.145","78.41","80.155","80.615","81.35"
"NG","2.537","2.515","2.468","2.584","2.609","2.656"
"CL","60.96","60.37","59.35","61.98","62.41","63.43"
"RB","191.47","189.75","186.95","194.27","195.35","198.15"
"SI","16.56","16.405","16.075","16.89","17.065","17.395"
"HG","323.25","321.65","318.15","326.75","328.65","332.15"
"GC","1347.9","1339.5","1322.9","1364.5","1372.7","1389.3"
"ZT","106.515625","106.484375","106.4375","106.5625","106.578125","106.625"
"ZF","114.171875","114.046875","113.828125","114.390625","114.484375","114.703125"
"ZN","120.34375","120.09375","119.640625","120.796875","121","121.453125"
"ZB","143.59375","142.96875","141.75","144.8125","145.40625","146.625"
"UB","155.53125","154.625","152.8125","157.34375","158.25","160.0625"
"ZC","366.75","366","364.5","368.25","369","370.5"
"ZS","1014.75","1008","994.75","1028","1034.5","1047.75"
"ZW","454.75","451.75","444","462.5","467.25","475"
"TN","127.9375","127.5625","126.875","128.625","128.9375","129.625"
"6S","107.62","107.18","106.02","108.78","109.5","110.66"
"NQ","6747.5","6708.25","6613.5","6842.25","6897.75","6992.5"
"NIY","21600","21330","20910","22020","22170","22590"
"YM","25101","24965","24670","25396","25555","25850"
"FGBL","157.92","157.24","156.14","159.02","159.44","160.54"
"FGBX","158.62","157.38","155.38","160.62","161.38","163.38"
"FDAX","12363","12279","12113.5","12528.5","12610","12775.5"
"FBTP","135.98","135.29","134.2","137.07","137.47","138.56"
"FOAT","152.45","151.88","150.95","153.38","153.74","154.67"
"FESX","3400","3375","3331","3444","3463","3507"
"R","120.76","120.25","119.41","121.6","121.93","122.77"
"Z","7228.5","7197.5","7146","7280","7300.5","7352"
