"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2568.75","2563","2549","2582.75","2591","2605"
"6E","1.1627","1.16065","1.1557","1.16765","1.17055","1.1755"
"6B","132.36","132.07","131.28","133.15","133.65","134.44"
"6J","87.52","87.34","86.83","88.03","88.36","88.87"
"6A","76.42","76.2","75.74","76.88","77.12","77.58"
"6C","77.505","77.345","77.04","77.81","77.955","78.26"
"NG","2.855","2.816","2.741","2.93","2.966","3.041"
"CL","53.74","53.19","51.93","55","55.71","56.97"
"RB","172.65","171.19","167.56","176.28","178.45","182.08"
"SI","16.83","16.485","15.96","17.355","17.535","18.06"
"HG","310.85","307.45","300.65","317.65","321.05","327.85"
"GC","1270.1","1263","1250.1","1283","1288.8","1301.7"
"ZT","107.609375","107.59375","107.546875","107.65625","107.6875","107.734375"
"ZF","117.0390625","116.953125","116.765625","117.2265625","117.328125","117.515625"
"ZN","124.734375","124.546875","124.171875","125.109375","125.296875","125.671875"
"ZB","152.0625","151.40625","150.15625","153.3125","153.90625","155.15625"
"UB","164.1875","163.25","161.46875","165.96875","166.8125","168.59375"
"ZC","346","343.75","340","349.75","351.25","355"
"ZS","985.25","979.5","969","995.75","1000.5","1011"
"ZW","415.75","413.5","408.25","421","424","429.25"
"TN","133.609375","133.3125","132.71875","134.203125","134.5","135.09375"
"6S","99.7","99.47","98.8","100.37","100.81","101.48"
"NQ","6215.75","6190.75","6132","6274.5","6308.25","6367"
"NIY","22265","22000","21570","22695","22860","23290"
"YM","23310","23247","23109","23448","23523","23661"
"FGBL","162.43","162.22","161.84","162.81","162.98","163.36"
"FGBX","165.2","164.74","163.86","166.08","166.5","167.38"
"FDAX","13365","13254.5","13087","13532.5","13589.5","13757"
"FBTP","139.6","139.36","138.94","140.02","140.2","140.62"
"FOAT","157.19","156.98","156.59","157.58","157.76","158.15"
"FESX","3686","3677","3660","3703","3711","3728"
"R","123.92","123.65","123.16","124.41","124.63","125.12"
"Z","7430","7400","7334.5","7495.5","7531","7596.5"
