"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2572.25","2568","2557","2583.25","2590","2601"
"6E","1.1786","1.1757","1.1702","1.1841","1.1867","1.1922"
"6B","131.83","131.38","130.51","132.7","133.12","133.99"
"6J","88.71","88.13","87.19","89.65","90.01","90.95"
"6A","75.32","74.99","74.3","76.01","76.37","77.06"
"6C","78.03","77.68","77.01","78.7","79.02","79.69"
"NG","3.06","3.024","2.952","3.132","3.168","3.24"
"CL","55.8","54.89","53.48","57.21","57.71","59.12"
"RB","172.22","170.01","166.4","175.83","177.23","180.84"
"SI","17.14","16.91","16.565","17.485","17.6","17.945"
"HG","304.5","302.35","298.9","307.95","309.25","312.7"
"GC","1284.1","1271.6","1252.6","1303.1","1309.6","1328.6"
"ZT","107.46875","107.453125","107.421875","107.5","107.515625","107.546875"
"ZF","116.890625","116.8359375","116.71875","117.0078125","117.0703125","117.1875"
"ZN","124.765625","124.625","124.34375","125.046875","125.1875","125.46875"
"ZB","153.1875","152.625","151.59375","154.21875","154.6875","155.71875"
"UB","166.15625","165.3125","163.8125","167.65625","168.3125","169.8125"
"ZC","338.75","334.25","327.5","345.5","347.75","354.5"
"ZS","977.25","964.25","944","997.5","1004.75","1025"
"ZW","423","419","412.75","429.25","431.5","437.75"
"TN","133.8125","133.5625","133.09375","134.28125","134.5","134.96875"
"6S","100.92","100.51","99.85","101.58","101.83","102.49"
"NQ","6297.75","6282.25","6240","6340","6366.75","6409"
"NIY","22145","21965","21475","22635","22945","23435"
"YM","23267","23218","23083","23402","23488","23623"
"FGBL","162.59","162.33","161.9","163.02","163.19","163.62"
"FGBX","164.9","164.2","163.04","166.06","166.52","167.68"
"FDAX","12944","12896","12778","13062","13132","13250"
"FBTP","139.19","138.9","138.35","139.74","140","140.55"
"FOAT","157.98","157.71","157.27","158.42","158.59","159.03"
"FESX","3532","3519","3488","3563","3581","3612"
"R","124.49","124.27","123.88","124.88","125.05","125.44"
"Z","7350.5","7326","7278","7398.5","7422","7470"
