"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2780.5","2772","2751.25","2801.25","2813.5","2834.25"
"6E","1.23935","1.236","1.23055","1.2448","1.2469","1.25235"
"6B","139.2","138.72","137.96","139.96","140.24","141"
"6J","94.285","93.915","93.345","94.855","95.055","95.625"
"6A","78.6","78.4","78.09","78.91","79.02","79.33"
"6C","77.975","77.86","77.605","78.23","78.37","78.625"
"NG","2.731","2.683","2.599","2.815","2.851","2.935"
"CL","60.61","59.87","58.28","62.2","63.05","64.64"
"RB","187.23","185.07","181.37","190.93","192.47","196.17"
"SI","16.44","16.35","16.165","16.625","16.72","16.905"
"HG","310.5","308.6","304.3","314.8","317.2","321.5"
"GC","1316","1311.1","1301.8","1325.3","1329.7","1339"
"ZT","106.25","106.21875","106.1875","106.28125","106.28125","106.3125"
"ZF","113.9453125","113.8359375","113.6640625","114.1171875","114.1796875","114.3515625"
"ZN","119.984375","119.765625","119.421875","120.328125","120.453125","120.796875"
"ZB","143.09375","142.5","141.5625","144.03125","144.375","145.3125"
"UB","155.15625","154.3125","153","156.46875","156.9375","158.25"
"ZC","388","385.5","381.5","392","393.5","397.5"
"ZS","1033.75","1026.75","1014.5","1046","1051.25","1063.5"
"ZW","485","479.25","469.75","494.5","498.25","507.75"
"TN","127.90625","127.578125","127.046875","128.4375","128.640625","129.171875"
"6S","106.1","105.67","104.99","106.78","107.03","107.71"
"NQ","7133.25","7101","7043.25","7191","7216.5","7274.25"
"NIY","21450","21335","21050","21735","21905","22190"
"YM","25104","24970","24622","25452","25666","26014"
"FGBL","157.01","156.76","156.34","157.43","157.6","158.02"
"FGBX","160.46","159.7","158.42","161.74","162.26","163.54"
"FDAX","12381.5","12323","12212.5","12492","12544","12654.5"
"FBTP","135.59","135.2","134.61","136.18","136.38","136.97"
"FOAT","152.04","151.78","151.35","152.47","152.64","153.07"
"FESX","3328","3314","3285","3357","3372","3401"
"R","121.14","121.06","120.87","121.33","121.44","121.63"
"Z","7180.5","7151","7087","7244.5","7279","7343"
