"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2824.75","2812.5","2786.5","2850.75","2864.5","2890.5"
"6E","1.13755","1.13225","1.1175","1.1523","1.16175","1.1765"
"6B","127.29","126.8","125.69","128.4","129.02","130.13"
"6J","90.285","89.96","89.435","90.81","91.01","91.535"
"6A","72.56","72.2","71.23","73.53","74.14","75.11"
"6C","75.925","75.69","75.07","76.545","76.93","77.55"
"NG","2.922","2.901","2.864","2.959","2.975","3.012"
"CL","66.58","65.52","63.83","68.27","68.9","70.59"
"RB","200.47","197.03","191.28","206.22","208.53","214.28"
"SI","15.24","15.18","15.01","15.41","15.52","15.69"
"HG","272.5","270.7","266.45","276.75","279.2","283.45"
"GC","1213.3","1207.6","1196.2","1224.7","1230.4","1241.8"
"ZT","105.765625","105.6875","105.5625","105.890625","105.9375","106.0625"
"ZF","113.4296875","113.1640625","112.7578125","113.8359375","113.9765625","114.3828125"
"ZN","119.953125","119.515625","118.859375","120.609375","120.828125","121.484375"
"ZB","143.78125","142.9375","141.65625","145.0625","145.5","146.78125"
"UB","157.65625","156.5625","154.875","159.34375","159.9375","161.625"
"ZC","367.25","362.75","350.25","379.75","387.75","400.25"
"ZS","846.75","832","789","889.75","918","961"
"ZW","536.75","526.5","497.75","565.5","584","612.75"
"TN","127.6875","127.140625","126.296875","128.53125","128.828125","129.671875"
"6S","100.55","100.31","99.84","101.02","101.25","101.72"
"NQ","7388.5","7350","7270","7468.5","7510","7590"
"NIY","21965","21750","21225","22490","22800","23325"
"YM","25202","25073","24801","25474","25617","25889"
"FGBL","162.92","162.5","161.82","163.6","163.86","164.54"
"FGBX","178.24","177","174.98","180.26","181.04","183.06"
"FDAX","12322.5","12233","11998","12557.5","12703","12938"
"FBTP","123.97","123.46","122.22","125.21","125.94","127.18"
"FOAT","154.36","154.07","153.62","154.81","154.97","155.42"
"FESX","3396","3371","3306","3461","3501","3566"
"R","123.38","123.2","122.9","123.68","123.8","124.1"
"Z","7608","7571","7471.5","7707.5","7770","7869.5"
