"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2547","2541.25","2532.5","2555.75","2558.75","2567.5"
"6E","1.1853","1.18095","1.17365","1.1926","1.19555","1.20285"
"6B","132.12","131.79","131.22","132.69","132.93","133.5"
"6J","89.05","88.88","88.495","89.435","89.65","90.035"
"6A","77.65","77.46","77.09","78.02","78.2","78.57"
"6C","79.915","79.64","79.155","80.4","80.61","81.095"
"NG","2.859","2.828","2.747","2.94","2.99","3.071"
"CL","50.82","50.34","49.57","51.59","51.88","52.65"
"RB","159.35","157.78","155.21","161.92","162.92","165.49"
"SI","17.065","16.99","16.82","17.235","17.33","17.5"
"HG","306.65","303.75","299.25","311.15","312.75","317.25"
"GC","1285.3","1281.7","1272.9","1294.1","1299.3","1308.1"
"ZT","107.75","107.734375","107.703125","107.78125","107.796875","107.828125"
"ZF","117.296875","117.234375","117.1015625","117.4296875","117.5","117.6328125"
"ZN","125.09375","124.9375","124.65625","125.375","125.5","125.78125"
"ZB","152.15625","151.75","151","152.90625","153.25","154"
"UB","164.125","163.5625","162.53125","165.15625","165.625","166.65625"
"ZC","345","343.75","340.5","348.25","350.25","353.5"
"ZS","963.5","961.75","958.25","967","968.75","972.25"
"ZW","430.5","427.5","422","436","438.5","444"
"TN","133.953125","133.734375","133.34375","134.34375","134.515625","134.90625"
"6S","102.91","102.61","102.09","103.43","103.65","104.17"
"NQ","6062.5","6042.5","6011.25","6093.75","6105","6136.25"
"NIY","20835","20720","20540","21015","21080","21260"
"YM","22776","22737","22677","22836","22857","22917"
"FGBL","161.13","160.99","160.72","161.4","161.53","161.8"
"FGBX","163.12","162.76","162.04","163.84","164.2","164.92"
"FDAX","12931.5","12898.5","12846.5","12983.5","13002.5","13054.5"
"FBTP","134.9","134.61","134.12","135.39","135.59","136.08"
"FOAT","155.34","155.19","154.9","155.63","155.77","156.06"
"FESX","3586","3574","3554","3606","3614","3634"
"R","123.65","123.5","123.25","123.9","124","124.25"
"Z","7478.5","7462.5","7429","7512","7529.5","7563"
