"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2795.75","2780.25","2755","2821","2830.75","2856"
"6E","1.16805","1.1645","1.15515","1.1774","1.1832","1.19255"
"6B","130.76","129.97","128.05","132.68","133.81","135.73"
"6J","88.775","88.575","88.04","89.31","89.645","90.18"
"6A","73.65","73.4","72.79","74.26","74.62","75.23"
"6C","75.63","75.38","74.775","76.235","76.59","77.195"
"NG","2.721","2.702","2.651","2.772","2.804","2.855"
"CL","67.33","66.58","65.28","68.63","69.18","70.48"
"RB","197.9","196.08","193.19","200.79","201.86","204.75"
"SI","15.5","15.38","15.07","15.81","16","16.31"
"HG","272.65","270.6","264.95","278.3","281.9","287.55"
"GC","1220.7","1214","1195.2","1239.5","1251.6","1270.4"
"ZT","105.765625","105.734375","105.6875","105.8125","105.828125","105.875"
"ZF","113.4296875","113.3828125","113.28125","113.53125","113.5859375","113.6875"
"ZN","120.015625","119.921875","119.71875","120.21875","120.328125","120.53125"
"ZB","144.84375","144.625","144.15625","145.3125","145.5625","146.03125"
"UB","159.59375","159.3125","158.625","160.28125","160.6875","161.375"
"ZC","357","354.25","349","362.25","364.75","370"
"ZS","848.25","841","828.75","860.5","865.5","877.75"
"ZW","488.5","479.25","462.25","505.5","513.25","530.25"
"TN","127.984375","127.859375","127.578125","128.265625","128.421875","128.703125"
"6S","100.31","100.03","99.29","101.05","101.51","102.25"
"NQ","7331.75","7242","7101","7472.75","7524","7665"
"NIY","22595","22350","21975","22970","23100","23475"
"YM","25012","24917","24759","25170","25233","25391"
"FGBL","162.67","162.48","162.18","162.97","163.08","163.38"
"FGBX","177.64","177.22","176.52","178.34","178.62","179.32"
"FDAX","12541.5","12419.5","12208","12753","12842.5","13054"
"FBTP","128.96","128.13","126.84","130.25","130.71","132"
"FOAT","154.81","154.58","154.23","155.16","155.28","155.63"
"FESX","3428","3403","3359","3472","3491","3535"
"R","123.13","122.93","122.6","123.46","123.59","123.92"
"Z","7521","7469","7367.5","7622.5","7672","7773.5"
