"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2787.75","2786.75","2781.75","2792.75","2796.75","2801.75"
"6E","1.2194","1.216","1.20525","1.23015","1.2375","1.24825"
"6B","137.33","137.02","136.15","138.2","138.76","139.63"
"6J","90.085","89.83","89.16","90.755","91.17","91.84"
"6A","78.85","78.6","77.9","79.55","80","80.7"
"6C","80.035","79.92","79.49","80.465","80.78","81.21"
"NG","3.138","3.075","2.994","3.219","3.237","3.318"
"CL","63.99","63.69","62.98","64.7","65.11","65.82"
"RB","184","183.06","181.12","185.94","186.94","188.88"
"SI","17.095","17.05","16.83","17.315","17.49","17.71"
"HG","319.85","317.85","311.35","326.35","330.85","337.35"
"GC","1332.7","1330.5","1322.3","1340.9","1346.9","1355.1"
"ZT","106.84375","106.8125","106.78125","106.875","106.875","106.90625"
"ZF","115.5","115.4609375","115.390625","115.5703125","115.6015625","115.671875"
"ZN","122.890625","122.859375","122.765625","122.984375","123.046875","123.140625"
"ZB","150.375","150.21875","149.9375","150.65625","150.78125","151.0625"
"UB","164.21875","163.96875","163.5","164.6875","164.90625","165.375"
"ZC","346","345.75","345","346.75","347.25","348"
"ZS","958.75","957.25","953.75","962.25","964.25","967.75"
"ZW","419.5","418.75","417.25","421","421.75","423.25"
"TN","131.96875","131.90625","131.75","132.125","132.21875","132.375"
"6S","103.4","103.11","102.23","104.28","104.87","105.75"
"NQ","6766","6757","6732","6791","6807","6832"
"NIY","23710","23605","23435","23880","23945","24115"
"YM","25754","25706","25549","25911","26020","26177"
"FGBL","160.18","160.03","159.6","160.61","160.89","161.32"
"FGBX","161.52","161.22","160.36","162.38","162.94","163.8"
"FDAX","13166","13128.5","13050","13244.5","13285.5","13364"
"FBTP","136.01","135.88","135.53","136.36","136.58","136.93"
"FOAT","154.13","153.98","153.59","154.52","154.76","155.15"
"FESX","3596","3584","3564","3616","3624","3644"
"R","123.62","123.5","123.21","123.91","124.08","124.37"
"Z","7698","7684.5","7651","7731.5","7751.5","7785"
