"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2696","2683.25","2653","2726.25","2743.75","2774"
"6E","1.18285","1.1782","1.1667","1.19435","1.2012","1.2127"
"6B","134.68","134.1","132.91","135.87","136.48","137.67"
"6J","90.545","90.305","89.65","91.2","91.615","92.27"
"6A","74.35","73.99","73.12","75.22","75.73","76.6"
"6C","77.39","77.01","76.22","78.18","78.59","79.38"
"NG","2.821","2.807","2.773","2.855","2.875","2.909"
"CL","70.55","69.8","68.39","71.96","72.62","74.03"
"RB","218.69","216.91","213.42","222.18","223.89","227.38"
"SI","16.125","15.985","15.625","16.485","16.705","17.065"
"HG","302.7","299.75","293.05","309.4","313.15","319.85"
"GC","1280.8","1271.3","1244.9","1307.2","1324.1","1350.5"
"ZT","105.828125","105.796875","105.71875","105.90625","105.953125","106.03125"
"ZF","112.7734375","112.6484375","112.3046875","113.1171875","113.3359375","113.6796875"
"ZN","118.359375","118.109375","117.4375","119.03125","119.453125","120.125"
"ZB","140.375","139.65625","137.78125","142.25","143.40625","145.28125"
"UB","153.09375","152.09375","149.5","155.6875","157.28125","159.875"
"ZC","398.25","394","387.75","404.5","406.5","412.75"
"ZS","1007.5","996.5","976.75","1027.25","1036","1055.75"
"ZW","488","482.25","472.5","497.75","501.75","511.5"
"TN","125.828125","125.421875","124.34375","126.90625","127.578125","128.65625"
"6S","99.79","99.54","98.97","100.36","100.68","101.25"
"NQ","6839.5","6788.5","6669.25","6958.75","7027","7146.25"
"NIY","22675","22600","22410","22865","22980","23170"
"YM","24544","24428","24138","24834","25008","25298"
"FGBL","157.52","157.29","156.74","158.07","158.39","158.94"
"FGBX","161.06","160.52","159.24","162.34","163.08","164.36"
"FDAX","12936.5","12893.5","12816.5","13013.5","13047.5","13124.5"
"FBTP","136.82","136.49","135.7","137.61","138.07","138.86"
"FOAT","152.67","152.5","152.05","153.12","153.4","153.85"
"FESX","3520","3510","3493","3537","3544","3561"
"R","121.23","121.02","120.49","121.76","122.08","122.61"
"Z","7671","7633.5","7567.5","7737","7765.5","7831.5"
