"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2699.75","2680.5","2649","2731.25","2743.5","2775"
"6E","1.18965","1.1836","1.1737","1.19955","1.2034","1.2133"
"6B","134.68","133.96","132.4","136.24","137.08","138.64"
"6J","91.285","90.93","90.38","91.835","92.03","92.58"
"6A","74.81","74.26","73.42","75.65","75.94","76.78"
"6C","78","77.57","76.89","78.68","78.93","79.61"
"NG","2.743","2.671","2.561","2.853","2.891","3.001"
"CL","70.69","70.01","68.75","71.95","72.53","73.79"
"RB","216.89","214.89","211.67","220.11","221.33","224.55"
"SI","16.58","16.4","16.12","16.86","16.96","17.24"
"HG","307.1","303.2","297.1","313.2","315.4","321.5"
"GC","1314.5","1306.8","1294.9","1326.4","1330.6","1342.5"
"ZT","105.90625","105.890625","105.828125","105.96875","106.015625","106.078125"
"ZF","113.1796875","113.0703125","112.796875","113.453125","113.6171875","113.890625"
"ZN","119.171875","118.96875","118.53125","119.609375","119.84375","120.28125"
"ZB","142.6875","142.21875","141.4375","143.46875","143.78125","144.5625"
"UB","155.71875","154.8125","153.34375","157.1875","157.75","159.21875"
"ZC","399.5","396.75","390.75","405.5","408.75","414.75"
"ZS","1011.75","1002.5","983.75","1030.5","1040","1058.75"
"ZW","500","493.25","479.25","514","521.25","535.25"
"TN","127.15625","126.875","126.328125","127.703125","127.96875","128.515625"
"6S","99.74","99.42","98.8","100.36","100.66","101.28"
"NQ","6912.5","6860.25","6779.5","6993.25","7021.75","7102.5"
"NIY","22445","22370","22245","22570","22620","22745"
"YM","24522","24352","24063","24811","24930","25219"
"FGBL","158.84","158.61","158.18","159.27","159.47","159.9"
"FGBX","163.44","162.92","161.94","164.42","164.88","165.86"
"FDAX","12960","12895.5","12793.5","13062","13099.5","13201.5"
"FBTP","137.06","136.83","136.24","137.65","138.01","138.6"
"FOAT","153.69","153.49","153.1","154.08","154.27","154.66"
"FESX","3514","3499","3474","3539","3549","3574"
"R","121.95","121.55","120.88","122.62","122.89","123.56"
"Z","7629.5","7577.5","7495.5","7711.5","7741.5","7823.5"
