"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2802","2782.75","2743.25","2841.5","2861.75","2901.25"
"6E","1.13405","1.1309","1.12575","1.1392","1.1412","1.14635"
"6B","126.76","126.44","125.76","127.44","127.8","128.48"
"6J","90.13","89.63","88.83","90.93","91.23","92.03"
"6A","72.12","71.87","71.45","72.54","72.71","73.13"
"6C","75.84","75.53","74.81","76.56","76.97","77.69"
"NG","2.927","2.914","2.884","2.957","2.974","3.004"
"CL","64.07","63.14","60.81","66.4","67.8","70.13"
"RB","197.48","195.21","189.58","203.11","206.47","212.1"
"SI","14.185","13.915","13.205","14.895","15.335","16.045"
"HG","251.2","246.4","232.8","264.8","273.6","287.2"
"GC","1176.2","1167.5","1146.1","1197.6","1210.3","1231.7"
"ZT","105.78125","105.71875","105.609375","105.890625","105.9375","106.046875"
"ZF","113.5390625","113.359375","113.0546875","113.84375","113.96875","114.2734375"
"ZN","120.125","119.828125","119.328125","120.625","120.828125","121.328125"
"ZB","144.09375","143.4375","142.34375","145.1875","145.625","146.71875"
"UB","157.78125","156.875","155.40625","159.25","159.8125","161.28125"
"ZC","374","371.75","367.75","378","379.75","383.75"
"ZS","863.5","858","842.5","879","889","904.5"
"ZW","526.25","520.25","506.25","540.25","548.25","562.25"
"TN","127.875","127.46875","126.78125","128.5625","128.84375","129.53125"
"6S","100.61","100.23","99.65","101.19","101.39","101.97"
"NQ","7308.5","7242.75","7099","7452.25","7530.25","7674"
"NIY","21780","21560","21055","22285","22570","23075"
"YM","24990","24793","24434","25349","25511","25870"
"FGBL","163.29","162.86","162.17","163.98","164.24","164.93"
"FGBX","179.14","178.06","176.34","180.86","181.5","183.22"
"FDAX","12018.5","11907.5","11599","12327","12524.5","12833"
"FBTP","121.79","121.11","119.2","123.7","124.93","126.84"
"FOAT","154.57","154.33","153.96","154.94","155.07","155.44"
"FESX","3312","3281","3196","3397","3451","3536"
"R","123.51","123.18","122.65","124.04","124.24","124.77"
"Z","7399.5","7341","7171","7569.5","7681","7851"
