"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2797.25","2783.5","2761.25","2819.5","2828","2850.25"
"6E","1.2243","1.22105","1.21315","1.2322","1.23685","1.24475"
"6B","138.57","138.13","137.14","139.56","140.11","141.1"
"6J","90.385","90.08","89.59","90.875","91.06","91.55"
"6A","79.75","79.51","78.97","80.29","80.59","81.13"
"6C","79.89","79.605","78.92","80.575","80.975","81.66"
"NG","3.135","3.085","2.982","3.238","3.291","3.394"
"CL","62.84","62.36","61.45","63.75","64.18","65.09"
"RB","185.12","183.78","180.77","188.13","189.8","192.81"
"SI","16.955","16.875","16.71","17.12","17.205","17.37"
"HG","316.8","314.8","309.6","322","325.2","330.4"
"GC","1327.2","1321.4","1310.3","1338.3","1343.6","1354.7"
"ZT","106.703125","106.6875","106.640625","106.75","106.78125","106.828125"
"ZF","115.046875","114.953125","114.75","115.25","115.359375","115.5625"
"ZN","122.109375","121.921875","121.546875","122.484375","122.671875","123.046875"
"ZB","148.59375","148.15625","147.34375","149.40625","149.78125","150.59375"
"UB","161.96875","161.34375","160.125","163.1875","163.78125","165"
"ZC","351.25","350","347.5","353.75","355","357.5"
"ZS","971","964.75","952.75","983","988.75","1000.75"
"ZW","420.5","418.5","413.25","425.75","429","434.25"
"TN","130.78125","130.515625","129.984375","131.3125","131.578125","132.109375"
"6S","103.91","103.44","102.29","105.06","105.74","106.89"
"NQ","6814.25","6782.75","6731.25","6865.75","6885.75","6937.25"
"NIY","23740","23640","23465","23915","23990","24165"
"YM","25923","25799","25596","26126","26205","26408"
"FGBL","160.39","160.11","159.62","160.88","161.09","161.58"
"FGBX","161.68","161.16","160.16","162.68","163.16","164.16"
"FDAX","13298.5","13167.5","12952","13514","13598.5","13814"
"FBTP","136.29","135.84","135.13","137","137.26","137.97"
"FOAT","154.3","154.06","153.61","154.75","154.96","155.41"
"FESX","3614","3589","3548","3655","3671","3712"
"R","123.42","123.25","122.9","123.77","123.95","124.3"
"Z","7645","7615.5","7570","7690.5","7706.5","7752"
