"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2624.75","2608.5","2574.5","2658.75","2676.5","2710.5"
"6E","1.24015","1.2381","1.2334","1.24485","1.2475","1.2522"
"6B","141.88","141.64","141.04","142.48","142.84","143.44"
"6J","93.655","93.4","92.895","94.16","94.41","94.915"
"6A","77.43","77.26","76.94","77.75","77.9","78.22"
"6C","79.35","79.1","78.625","79.825","80.05","80.525"
"NG","2.634","2.594","2.527","2.701","2.728","2.795"
"CL","65.55","64.29","62.15","67.69","68.57","70.71"
"RB","203.58","200.41","195.3","208.69","210.63","215.74"
"SI","16.57","16.37","16.02","16.92","17.07","17.42"
"HG","309.75","307.8","303.4","314.15","316.6","321"
"GC","1345.4","1330.7","1304.2","1371.9","1383.7","1410.2"
"ZT","106.25","106.21875","106.15625","106.3125","106.34375","106.40625"
"ZF","114.140625","114.03125","113.7890625","114.3828125","114.515625","114.7578125"
"ZN","120.65625","120.453125","120.03125","121.078125","121.296875","121.71875"
"ZB","145.53125","144.9375","143.6875","146.78125","147.4375","148.6875"
"UB","158.8125","158","156.28125","160.53125","161.4375","163.15625"
"ZC","385.25","383.25","378.75","389.75","392.25","396.75"
"ZS","1043.5","1039.5","1028","1055","1062.5","1074"
"ZW","483.25","479.25","471","491.5","495.75","504"
"TN","129.09375","128.78125","128.125","129.75","130.09375","130.75"
"6S","104.73","104.53","104.09","105.17","105.41","105.85"
"NQ","6543.25","6493.5","6385.25","6651.5","6710","6818.25"
"NIY","21515","21390","21095","21810","21980","22275"
"YM","24040","23914","23626","24328","24490","24778"
"FGBL","159.25","158.99","158.54","159.7","159.89","160.34"
"FGBX","165.14","164.56","163.46","166.24","166.76","167.86"
"FDAX","12244","12189","12060.5","12372.5","12446","12574.5"
"FBTP","138.61","138.37","137.94","139.04","139.23","139.66"
"FOAT","154.18","153.93","153.47","154.64","154.85","155.31"
"FESX","3329","3318","3294","3353","3366","3390"
"R","122.26","121.96","121.38","122.84","123.12","123.7"
"Z","7164","7143.5","7104","7203.5","7222.5","7262"
