"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2703.25","2696.5","2682.25","2717.5","2725","2739.25"
"6E","1.2403","1.2375","1.23235","1.24545","1.2478","1.25295"
"6B","141.84","141.28","139.9","143.22","144.04","145.42"
"6J","93.425","93.28","92.945","93.76","93.95","94.285"
"6A","77.54","77.24","76.73","78.05","78.26","78.77"
"6C","78.97","78.69","78.01","79.65","80.05","80.73"
"NG","2.719","2.7","2.647","2.772","2.806","2.859"
"CL","67.06","65.64","63.32","69.38","70.28","72.6"
"RB","205.48","203.54","200.23","208.79","210.16","213.47"
"SI","16.905","16.555","16.025","17.435","17.615","18.145"
"HG","309.75","303.6","293.45","319.9","323.9","334.05"
"GC","1346.2","1338.8","1325.1","1359.9","1366.2","1379.9"
"ZT","106.03125","105.984375","105.890625","106.125","106.171875","106.265625"
"ZF","113.625","113.5390625","113.296875","113.8671875","114.0234375","114.265625"
"ZN","119.96875","119.8125","119.390625","120.390625","120.65625","121.078125"
"ZB","144.4375","143.96875","142.8125","145.59375","146.28125","147.4375"
"UB","157.90625","157.21875","155.71875","159.40625","160.21875","161.71875"
"ZC","380.75","378.75","375.5","384","385.25","388.5"
"ZS","1036.75","1031.5","1018.5","1049.75","1057.5","1070.5"
"ZW","468.5","462","452","478.5","482","492"
"TN","128.359375","128.109375","127.5","128.96875","129.328125","129.9375"
"6S","103.56","103.34","102.85","104.05","104.32","104.81"
"NQ","6805.75","6768","6700.5","6873.25","6903","6970.5"
"NIY","21960","21770","21465","22265","22380","22685"
"YM","24677","24620","24499","24798","24862","24983"
"FGBL","158.83","158.61","158.04","159.4","159.75","160.32"
"FGBX","164.16","163.68","162.5","165.34","166.04","167.22"
"FDAX","12560","12513","12422","12651","12695","12786"
"FBTP","139.25","138.92","138.32","139.85","140.12","140.72"
"FOAT","154.02","153.85","153.34","154.53","154.87","155.38"
"FESX","3409","3400","3386","3423","3428","3442"
"R","121.89","121.54","120.73","122.7","123.16","123.97"
"Z","7196.5","7135.5","7039.5","7292.5","7327.5","7423.5"
