"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2690.25","2675.25","2631.75","2733.75","2762.25","2805.75"
"6E","1.15795","1.15305","1.13995","1.17105","1.17925","1.19235"
"6B","131.25","130.76","129.49","132.52","133.3","134.57"
"6J","90.95","90.655","89.995","91.61","91.975","92.635"
"6A","73.19","72.84","72.05","73.98","74.42","75.21"
"6C","74.89","74.55","73.95","75.49","75.75","76.35"
"NG","2.949","2.916","2.859","3.006","3.03","3.087"
"CL","71.21","69.66","67.2","73.67","74.58","77.04"
"RB","207.34","203.65","197.77","213.22","215.41","221.29"
"SI","16.06","15.885","15.555","16.39","16.545","16.875"
"HG","298.6","296.5","292.4","302.7","304.7","308.8"
"GC","1251.8","1247.6","1238.5","1260.9","1265.8","1274.9"
"ZT","105.90625","105.859375","105.78125","105.984375","106.015625","106.09375"
"ZF","113.5859375","113.40625","113.140625","113.8515625","113.9375","114.203125"
"ZN","120.078125","119.78125","119.328125","120.53125","120.6875","121.140625"
"ZB","144.5","143.75","142.59375","145.65625","146.0625","147.21875"
"UB","158.78125","157.65625","155.9375","160.5","161.09375","162.8125"
"ZC","370.75","368.5","363.25","376","379","384.25"
"ZS","884.75","880.25","869.5","895.5","901.75","912.5"
"ZW","483.25","478.25","469.25","492.25","496.25","505.25"
"TN","128.015625","127.59375","126.953125","128.65625","128.875","129.515625"
"6S","100.7","100.39","99.53","101.56","102.11","102.97"
"NQ","6942.25","6886","6726.25","7102","7205.5","7365.25"
"NIY","22010","21895","21585","22320","22515","22825"
"YM","23955","23776","23295","24436","24738","25219"
"FGBL","162.04","161.77","161.26","162.55","162.79","163.3"
"FGBX","174.86","173.8","172.02","176.64","177.36","179.14"
"FDAX","12150.5","11975.5","11664","12462","12598.5","12910"
"FBTP","124.92","124.12","122.78","126.26","126.8","128.14"
"FOAT","153.62","153.39","153.01","154","154.15","154.53"
"FESX","3338","3292","3208","3422","3460","3544"
"R","123.02","122.71","122.23","123.5","123.67","124.15"
"Z","7472","7397.5","7272","7597.5","7648.5","7774"
