"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2566.75","2557","2541.5","2582.25","2588","2603.5"
"6E","1.16485","1.1609","1.15375","1.172","1.1752","1.18235"
"6B","129.87","128.96","126.42","132.41","134.04","136.58"
"6J","87.66","87.445","86.96","88.145","88.415","88.9"
"6A","76.79","76.46","75.9","77.35","77.58","78.14"
"6C","77.8","77.515","77.055","78.26","78.435","78.895"
"NG","2.893","2.851","2.778","2.966","2.997","3.07"
"CL","54.09","53.65","52.87","54.87","55.21","55.99"
"RB","174.01","171.05","165.74","179.32","181.67","186.98"
"SI","17.045","16.95","16.755","17.24","17.34","17.535"
"HG","311.6","308.9","303.55","316.95","319.6","324.95"
"GC","1273.2","1268.4","1257.7","1283.9","1289.8","1300.5"
"ZT","107.625","107.59375","107.53125","107.6875","107.71875","107.78125"
"ZF","117.1328125","117.0390625","116.859375","117.3125","117.3984375","117.578125"
"ZN","124.953125","124.75","124.40625","125.296875","125.4375","125.78125"
"ZB","152.875","152.3125","151.375","153.8125","154.1875","155.125"
"UB","165.375","164.59375","163.34375","166.625","167.09375","168.34375"
"ZC","347.75","345.25","340.75","352.25","354.25","358.75"
"ZS","992.75","986.5","976.75","1002.5","1006","1015.75"
"ZW","420.5","414.75","406.25","429","431.75","440.25"
"TN","133.96875","133.671875","133.171875","134.46875","134.671875","135.171875"
"6S","99.95","99.54","98.73","100.76","101.16","101.97"
"NQ","6200.25","6164.5","6097.75","6267","6298","6364.75"
"NIY","22435","22310","22115","22630","22700","22895"
"YM","23333","23223","23044","23512","23581","23760"
"FGBL","162.4","162.11","161.68","162.83","162.97","163.4"
"FGBX","164.96","164.24","163.16","166.04","166.4","167.48"
"FDAX","13405.5","13371.5","13307","13470","13500.5","13565"
"FBTP","139.62","139.39","138.99","140.02","140.19","140.59"
"FOAT","157.15","156.81","156.3","157.66","157.83","158.34"
"FESX","3671","3657","3632","3696","3707","3732"
"R","124.34","123.57","122.38","125.53","125.95","127.14"
"Z","7455.5","7382.5","7267.5","7570.5","7612.5","7727.5"
