"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2647.75","2639.25","2618","2669","2681.75","2703"
"6E","1.18385","1.18015","1.17125","1.19275","1.19795","1.20685"
"6B","134.62","134.24","133.6","135.26","135.52","136.16"
"6J","89.235","88.84","88.2","89.875","90.12","90.76"
"6A","76.39","76.06","75.55","76.9","77.08","77.59"
"6C","78.035","77.485","76.565","78.955","79.325","80.245"
"NG","2.648","2.613","2.544","2.717","2.751","2.82"
"CL","56.35","55.66","54.54","57.47","57.9","59.02"
"RB","165.13","163.2","159.79","168.54","170.02","173.43"
"SI","15.815","15.69","15.4","16.105","16.27","16.56"
"HG","304.35","301.4","296.55","309.2","311.1","315.95"
"GC","1253","1248.8","1240.4","1261.4","1265.6","1274"
"ZT","107.125","107.078125","106.984375","107.21875","107.265625","107.359375"
"ZF","116.3046875","116.1484375","115.8515625","116.6015625","116.7421875","117.0390625"
"ZN","124.328125","124.09375","123.703125","124.71875","124.875","125.265625"
"ZB","153.40625","152.75","151.71875","154.4375","154.8125","155.84375"
"UB","167.5625","166.53125","164.9375","169.15625","169.71875","171.3125"
"ZC","347.5","346.5","344","350","351.5","354"
"ZS","962.5","957.5","943.5","976.5","985.5","999.5"
"ZW","416","413.75","409.25","420.5","422.75","427.25"
"TN","133.875","133.53125","133.015625","134.390625","134.5625","135.078125"
"6S","101.8","101.47","100.83","102.44","102.75","103.39"
"NQ","6393.75","6378.25","6338.5","6433.5","6457.75","6497.5"
"NIY","22465","22370","22135","22700","22840","23075"
"YM","24492","24428","24260","24660","24764","24932"
"FGBL","162.93","162.63","162.04","163.52","163.81","164.4"
"FGBX","166.5","165.56","163.76","168.3","169.16","170.96"
"FDAX","13007","12933.5","12788.5","13152","13223.5","13368.5"
"FBTP","138.31","138.01","137.42","138.9","139.19","139.78"
"FOAT","156.89","156.61","156.12","157.38","157.59","158.08"
"FESX","3530","3512","3476","3566","3584","3620"
"R","124.89","124.48","123.83","125.54","125.78","126.43"
"Z","7442","7422.5","7377","7487.5","7513.5","7559"
