"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2902.75","2890.75","2871.5","2922","2929.25","2948.5"
"6E","1.1681","1.16475","1.1592","1.17365","1.17585","1.1814"
"6B","129.09","127.89","126.03","130.95","131.61","133.47"
"6J","89.42","89.2","88.65","89.97","90.3","90.85"
"6A","72.68","72.35","71.62","73.41","73.81","74.54"
"6C","77.26","77.07","76.75","77.58","77.71","78.03"
"NG","2.837","2.812","2.768","2.881","2.9","2.944"
"CL","68.68","67.84","66.47","70.05","70.58","71.95"
"RB","197.15","194.31","189.5","201.96","203.93","208.74"
"SI","14.74","14.665","14.54","14.865","14.915","15.04"
"HG","271.9","270.2","266.65","275.45","277.3","280.85"
"GC","1208.1","1204.6","1198.5","1214.2","1216.8","1222.9"
"ZT","105.6875","105.671875","105.625","105.734375","105.765625","105.8125"
"ZF","113.34375","113.2734375","113.109375","113.5078125","113.6015625","113.765625"
"ZN","119.953125","119.828125","119.5625","120.21875","120.359375","120.625"
"ZB","144.3125","144.03125","143.53125","144.8125","145.03125","145.53125"
"UB","158.28125","157.875","157.1875","158.96875","159.25","159.9375"
"ZC","354.75","353.25","349.75","358.25","360.25","363.75"
"ZS","830.75","825.75","814.5","842","848.25","859.5"
"ZW","527.5","513.25","490.5","550.25","558.75","581.5"
"TN","127.859375","127.6875","127.359375","128.1875","128.34375","128.671875"
"6S","102.64","102.17","101.41","103.4","103.69","104.45"
"NQ","7609.25","7549.5","7457.75","7701","7733","7824.75"
"NIY","22830","22685","22450","23065","23155","23390"
"YM","26074","26002","25877","26199","26252","26377"
"FGBL","161.97","161.75","161.18","162.54","162.89","163.46"
"FGBX","175.5","174.96","173.52","176.94","177.84","179.28"
"FDAX","12515","12469.5","12396","12588.5","12616.5","12690"
"FBTP","123.08","122.54","121.69","123.93","124.24","125.09"
"FOAT","153.72","153.53","153.07","154.18","154.45","154.91"
"FESX","3442","3429","3408","3463","3471","3492"
"R","122.32","122.08","121.41","122.99","123.42","124.09"
"Z","7518.5","7479","7379","7618.5","7679","7779"
