"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2756.75","2729.25","2687.25","2798.75","2813.25","2855.25"
"6E","1.22925","1.2258","1.2185","1.23655","1.2404","1.2477"
"6B","139.18","138.62","137.26","140.54","141.34","142.7"
"6J","93.375","93.105","92.465","94.015","94.385","95.025"
"6A","78.19","77.89","77.23","78.85","79.21","79.87"
"6C","78.63","78.375","77.795","79.21","79.535","80.115"
"NG","2.647","2.608","2.532","2.723","2.76","2.836"
"CL","63.35","62.8","61.83","64.32","64.74","65.71"
"RB","198.57","196.85","193.86","201.56","202.83","205.82"
"SI","16.485","16.355","16.075","16.765","16.915","17.195"
"HG","320.8","319.1","315","324.9","327.3","331.4"
"GC","1326.6","1320.4","1306.2","1340.8","1348.8","1363"
"ZT","106.5","106.46875","106.390625","106.578125","106.625","106.703125"
"ZF","114.3125","114.1953125","113.96875","114.5390625","114.6484375","114.875"
"ZN","120.65625","120.484375","120.140625","121","121.171875","121.515625"
"ZB","143.84375","143.5","142.6875","144.65625","145.125","145.9375"
"UB","155.53125","155.0625","153.9375","156.65625","157.3125","158.4375"
"ZC","374.75","372.25","368","379","380.75","385"
"ZS","1041","1036","1022","1055","1064","1078"
"ZW","465.5","458.5","446","478","483.5","496"
"TN","128.375","128.125","127.609375","128.890625","129.15625","129.671875"
"6S","106.5","106.22","105.5","107.22","107.66","108.38"
"NQ","6924.75","6849.25","6733","7041","7081.75","7198"
"NIY","22165","21915","21540","22540","22665","23040"
"YM","25453","25147","24683","25917","26075","26539"
"FGBL","159.33","159.09","158.69","159.73","159.89","160.29"
"FGBX","161.56","161.06","160.24","162.38","162.7","163.52"
"FDAX","12481","12423.5","12308.5","12596","12653.5","12768.5"
"FBTP","135.98","135.57","134.89","136.66","136.93","137.61"
"FOAT","153.42","153.25","152.94","153.73","153.87","154.18"
"FESX","3451","3437","3409","3479","3493","3521"
"R","121.84","121.58","121.18","122.24","122.38","122.78"
"Z","7248.5","7214.5","7152.5","7310.5","7338.5","7400.5"
