"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2849.5","2837.75","2816.75","2870.5","2879.75","2900.75"
"6E","1.1575","1.1541","1.1473","1.1643","1.1677","1.1745"
"6B","128.89","128.52","127.86","129.55","129.84","130.5"
"6J","90.42","90.25","89.775","90.895","91.2","91.675"
"6A","73.31","73.17","72.85","73.63","73.81","74.13"
"6C","76.735","76.555","76.23","77.06","77.205","77.53"
"NG","2.943","2.929","2.891","2.981","3.005","3.043"
"CL","66.52","65.19","63.06","68.65","69.45","71.58"
"RB","192.73","189.4","184.07","198.06","200.06","205.39"
"SI","14.665","14.575","14.39","14.85","14.945","15.13"
"HG","265.4","263.4","259.45","269.35","271.3","275.25"
"GC","1199.1","1194.9","1186.2","1207.8","1212.3","1221"
"ZT","105.84375","105.8125","105.765625","105.890625","105.90625","105.953125"
"ZF","113.7421875","113.6796875","113.5625","113.859375","113.9140625","114.03125"
"ZN","120.515625","120.40625","120.1875","120.734375","120.84375","121.0625"
"ZB","145.1875","144.9375","144.4375","145.6875","145.9375","146.4375"
"UB","159.34375","158.96875","158.25","160.0625","160.40625","161.125"
"ZC","364.5","362","355","371.5","376","383"
"ZS","864.5","858.75","842.5","880.75","891.25","907.5"
"ZW","520.25","514.5","502.5","532.25","538.5","550.5"
"TN","128.484375","128.34375","128.0625","128.765625","128.90625","129.1875"
"6S","101.67","101.45","100.98","102.14","102.39","102.86"
"NQ","7376.25","7319","7228.25","7467","7500.5","7591.25"
"NIY","22195","22030","21740","22485","22610","22900"
"YM","25655","25594","25446","25803","25890","26038"
"FGBL","162.8","162.6","162.08","163.32","163.64","164.16"
"FGBX","178.18","177.74","176.58","179.34","180.06","181.22"
"FDAX","12332","12279.5","12177.5","12434","12483.5","12585.5"
"FBTP","123.59","123.09","121.81","124.87","125.65","126.93"
"FOAT","154.3","154.13","153.69","154.74","155.01","155.45"
"FESX","3404","3386","3356","3434","3446","3476"
"R","123.22","123.11","122.83","123.5","123.67","123.95"
"Z","7530","7488.5","7414","7604.5","7637.5","7712"
