"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2655.25","2639","2601.5","2692.75","2714","2751.5"
"6E","1.2295","1.22575","1.2167","1.23855","1.24385","1.2529"
"6B","140.19","139.83","138.97","141.05","141.55","142.41"
"6J","93.06","92.85","92.445","93.465","93.66","94.065"
"6A","76.4","76.12","75.4","77.12","77.56","78.28"
"6C","78.22","77.92","77.115","79.025","79.53","80.335"
"NG","2.683","2.627","2.54","2.77","2.801","2.888"
"CL","67.76","67.13","66.07","68.82","69.25","70.31"
"RB","207.73","205.49","202.07","211.15","212.33","215.75"
"SI","17.055","16.95","16.745","17.26","17.36","17.565"
"HG","311.45","309.4","305.8","315.05","316.6","320.2"
"GC","1334.1","1329.9","1318.4","1345.6","1352.9","1364.4"
"ZT","105.984375","105.953125","105.875","106.0625","106.109375","106.1875"
"ZF","113.34375","113.25","113","113.59375","113.75","114"
"ZN","119.375","119.203125","118.765625","119.8125","120.078125","120.515625"
"ZB","142.6875","142.28125","141.25","143.71875","144.34375","145.375"
"UB","155.40625","154.84375","153.40625","156.84375","157.71875","159.15625"
"ZC","383.5","381.75","376.5","388.75","392.25","397.5"
"ZS","1036.25","1032.25","1021.5","1047","1053.75","1064.5"
"ZW","472.25","467","452.5","486.75","496","510.5"
"TN","127.4375","127.1875","126.5625","128.0625","128.4375","129.0625"
"6S","102.86","102.67","102.18","103.35","103.65","104.14"
"NQ","6620.5","6564.5","6424.25","6760.75","6845","6985.25"
"NIY","21995","21915","21705","22205","22335","22545"
"YM","24296","24158","23838","24616","24798","25118"
"FGBL","157.9","157.66","157.18","158.38","158.62","159.1"
"FGBX","161.96","161.4","160.2","163.16","163.8","165"
"FDAX","12502","12455.5","12362.5","12595","12641.5","12734.5"
"FBTP","138.63","138.32","137.78","139.17","139.4","139.94"
"FOAT","153.16","152.97","152.58","153.55","153.75","154.14"
"FESX","3405","3391","3364","3432","3445","3472"
"R","121.28","121.05","120.48","121.85","122.19","122.76"
"Z","7289","7269.5","7234.5","7324","7339.5","7374.5"
