"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2764.75","2755.25","2734.5","2785.5","2796.75","2817.5"
"6E","1.1697","1.1664","1.1572","1.1789","1.1848","1.194"
"6B","132.15","131.82","130.95","133.02","133.56","134.43"
"6J","89.215","88.81","87.68","90.345","91.07","92.2"
"6A","73.48","73.19","72.46","74.21","74.65","75.38"
"6C","75.535","75.215","74.35","76.4","76.945","77.81"
"NG","2.797","2.764","2.714","2.847","2.864","2.914"
"CL","68.87","67.36","63.16","73.07","75.76","79.96"
"RB","202.04","197.93","186.46","213.51","220.87","232.34"
"SI","15.71","15.61","15.315","16.005","16.2","16.495"
"HG","269.85","265.35","254.3","280.9","287.45","298.5"
"GC","1238.5","1232.5","1217.2","1253.8","1263.1","1278.4"
"ZT","105.78125","105.75","105.671875","105.859375","105.90625","105.984375"
"ZF","113.4375","113.328125","113.1171875","113.6484375","113.75","113.9609375"
"ZN","120.09375","119.9375","119.640625","120.390625","120.53125","120.828125"
"ZB","145.15625","144.84375","144.25","145.75","146.03125","146.625"
"UB","160.125","159.71875","158.9375","160.90625","161.28125","162.0625"
"ZC","350.75","348","340.5","358.25","363","370.5"
"ZS","840","831.75","808","863.75","879.25","903"
"ZW","464.5","457.5","436.75","485.25","499","519.75"
"TN","128.125","127.90625","127.5","128.53125","128.71875","129.125"
"6S","100.74","100.52","99.92","101.34","101.72","102.32"
"NQ","7210.75","7167.5","7085.75","7292.5","7331","7412.75"
"NIY","21775","21555","21155","22175","22355","22755"
"YM","24605","24522","24340","24787","24886","25068"
"FGBL","162.38","162.22","161.86","162.74","162.94","163.3"
"FGBX","177.44","177.04","176.14","178.34","178.84","179.74"
"FDAX","12360.5","12305","12176.5","12489","12562","12690.5"
"FBTP","127.27","127.03","126.52","127.78","128.05","128.56"
"FOAT","154.59","154.43","154.08","154.94","155.13","155.48"
"FESX","3402","3386","3349","3439","3460","3497"
"R","122.76","122.58","122.21","123.13","123.32","123.69"
"Z","7489","7445","7340.5","7593.5","7654","7758.5"
