"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2644.5","2620.5","2556.5","2708.5","2748.5","2812.5"
"6E","1.2243","1.2181","1.20235","1.24005","1.2496","1.26535"
"6B","138.42","137.85","136.44","139.83","140.67","142.08"
"6J","91.31","91.01","90.36","91.96","92.31","92.96"
"6A","77.9","77.57","76.66","78.81","79.39","80.3"
"6C","79.385","79.2","78.68","79.905","80.24","80.76"
"NG","2.666","2.631","2.539","2.758","2.815","2.907"
"CL","60.66","59.54","56.67","63.53","65.28","68.15"
"RB","173.85","171.11","164.03","180.93","185.27","192.35"
"SI","16.065","15.895","15.395","16.565","16.895","17.395"
"HG","303.95","299.2","285.05","318.1","327.5","341.65"
"GC","1307.8","1301","1280.8","1328","1341.4","1361.6"
"ZT","106.5625","106.5","106.34375","106.71875","106.8125","106.96875"
"ZF","114.40625","114.2421875","113.8359375","114.8125","115.0546875","115.4609375"
"ZN","120.703125","120.421875","119.703125","121.421875","121.859375","122.578125"
"ZB","143.875","143.125","141.15625","145.84375","147.0625","149.03125"
"UB","155.96875","154.90625","152.125","158.75","160.46875","163.25"
"ZC","363.5","361.75","359","366.25","367.25","370"
"ZS","979","975","963.75","990.25","997.5","1008.75"
"ZW","450.5","440.5","425","466","471.5","487"
"TN","128.390625","127.953125","126.828125","129.515625","130.203125","131.328125"
"6S","105.86","105.34","104.07","107.13","107.88","109.15"
"NQ","6488.5","6421.25","6241.75","6668","6780.25","6959.75"
"NIY","21425","21015","20155","22285","22735","23595"
"YM","24420","24104","23389","25135","25534","26249"
"FGBL","157.8","157.37","156.39","158.78","159.33","160.31"
"FGBX","159.2","158.42","156.62","161","162.02","163.82"
"FDAX","12449.5","12316.5","12088","12678","12773.5","13002"
"FBTP","136.28","135.65","134.49","137.44","137.97","139.13"
"FOAT","152.48","152.21","151.53","153.16","153.57","154.25"
"FESX","3413","3375","3313","3475","3499","3561"
"R","121.45","121.22","120.74","121.93","122.18","122.66"
"Z","7131.5","7041.5","6893","7280","7338.5","7487"
