"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2497.5","2489.75","2477.25","2510","2514.75","2527.25"
"6E","1.1885","1.1823","1.1666","1.2042","1.2137","1.2294"
"6B","134.53","133.86","132.14","136.25","137.3","139.02"
"6J","88.98","88.58","87.54","90.02","90.66","91.7"
"6A","79.62","79.19","78.18","80.63","81.21","82.22"
"6C","80.565","80.145","79.12","81.59","82.195","83.22"
"NG","3.066","3.038","2.97","3.134","3.174","3.242"
"CL","50.2","49.72","48.81","51.11","51.54","52.45"
"RB","160.61","159.65","157.99","162.27","162.97","164.63"
"SI","17.09","16.85","16.435","17.505","17.68","18.095"
"HG","295.1","293.3","289.45","298.95","301","304.85"
"GC","1304.3","1292.2","1272.5","1324","1331.6","1351.3"
"ZT","107.84375","107.796875","107.671875","107.96875","108.046875","108.171875"
"ZF","117.484375","117.328125","116.90625","117.90625","118.171875","118.59375"
"ZN","125.375","125.140625","124.515625","126","126.390625","127.015625"
"ZB","153.375","152.96875","152.03125","154.3125","154.84375","155.78125"
"UB","165.625","165.09375","163.875","166.84375","167.53125","168.75"
"ZC","347.75","345.5","341.5","351.75","353.5","357.5"
"ZS","965.25","960.5","951.5","974.25","978.5","987.5"
"ZW","444.5","439.25","430.5","453.25","456.75","465.5"
"TN","134.484375","134.171875","133.375","135.28125","135.765625","136.5625"
"6S","103.17","102.68","101.37","104.48","105.3","106.61"
"NQ","5942.5","5906.25","5841.75","6007","6035.25","6099.75"
"NIY","20180","20070","19910","20340","20390","20550"
"YM","22306","22236","22126","22416","22456","22566"
"FGBL","160.92","160.53","159.91","161.54","161.77","162.39"
"FGBX","162.98","162.24","160.98","164.24","164.76","166.02"
"FDAX","12503.5","12451","12336.5","12618","12680","12794.5"
"FBTP","135.15","134.94","134.37","135.72","136.08","136.65"
"FOAT","155.29","155.11","154.73","155.67","155.87","156.25"
"FESX","3500","3490","3463","3527","3544","3571"
"R","123.83","123.56","123.03","124.36","124.62","125.15"
"Z","7202","7181","7134.5","7248.5","7274","7320.5"
