"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2501.75","2499","2494.25","2506.5","2508.5","2513.25"
"6E","1.2022","1.19895","1.1937","1.20745","1.20945","1.2147"
"6B","135.15","134.7","133.89","135.96","136.32","137.13"
"6J","89.795","89.53","89.04","90.285","90.51","91"
"6A","79.66","79.28","78.68","80.26","80.48","81.08"
"6C","81.335","81.135","80.79","81.68","81.825","82.17"
"NG","3.102","3.082","3.031","3.153","3.184","3.235"
"CL","49.49","49.08","48.01","50.56","51.22","52.29"
"RB","159.34","158.09","155.31","162.12","163.65","166.43"
"SI","17.17","17.06","16.85","17.38","17.48","17.69"
"HG","295.9","294.85","292.65","298.1","299.25","301.45"
"GC","1308.1","1305.6","1299.6","1314.1","1317.6","1323.6"
"ZT","107.953125","107.9375","107.890625","108","108.03125","108.078125"
"ZF","117.8359375","117.78125","117.6328125","117.984375","118.078125","118.2265625"
"ZN","125.890625","125.78125","125.515625","126.15625","126.3125","126.578125"
"ZB","153.875","153.59375","152.90625","154.5625","154.96875","155.65625"
"UB","166.09375","165.6875","164.71875","167.0625","167.625","168.59375"
"ZC","345.5","342.75","336.25","352","355.75","362.25"
"ZS","959","952.25","939.25","972","978.25","991.25"
"ZW","437","431","420.25","447.75","452.5","463.25"
"TN","135.0625","134.890625","134.484375","135.46875","135.703125","136.109375"
"6S","104.22","103.95","103.39","104.78","105.07","105.63"
"NQ","5980.5","5964","5935.75","6008.75","6020.5","6048.75"
"NIY","20015","19885","19675","20225","20305","20515"
"YM","22308","22280","22235","22353","22370","22415"
"FGBL","160.89","160.7","160.28","161.31","161.54","161.96"
"FGBX","162.72","162.2","161.08","163.84","164.44","165.56"
"FDAX","12528.5","12506.5","12472.5","12562.5","12574.5","12608.5"
"FBTP","135.23","134.97","134.4","135.8","136.11","136.68"
"FOAT","155.23","155.02","154.58","155.67","155.9","156.34"
"FESX","3509","3503","3493","3519","3523","3533"
"R","123.89","123.62","122.97","124.54","124.92","125.57"
"Z","7206.5","7181.5","7138","7250","7268.5","7312"
