"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2773.75","2759","2736.25","2796.5","2804.5","2827.25"
"6E","1.21185","1.2008","1.1829","1.22975","1.2366","1.2545"
"6B","136.3","134.95","132.9","138.35","139.05","141.1"
"6J","89.97","89.59","88.975","90.585","90.82","91.435"
"6A","78.64","78.19","77.46","79.37","79.65","80.38"
"6C","79.805","79.46","78.865","80.4","80.65","81.245"
"NG","3.108","3.016","2.867","3.257","3.314","3.463"
"CL","63.42","62.55","61.15","64.82","65.35","66.75"
"RB","182.95","180.94","177.81","186.08","187.2","190.33"
"SI","16.995","16.845","16.545","17.295","17.445","17.745"
"HG","320.7","319.55","316.35","323.9","325.95","329.15"
"GC","1325","1315","1297.6","1342.4","1349.8","1367.2"
"ZT","106.8125","106.765625","106.6875","106.890625","106.921875","107"
"ZF","115.390625","115.2578125","115.0078125","115.640625","115.7578125","116.0078125"
"ZN","122.703125","122.46875","122.0625","123.109375","123.28125","123.6875"
"ZB","149.875","149.25","148.28125","150.84375","151.1875","152.15625"
"UB","163.5","162.5625","161.09375","164.96875","165.5","166.96875"
"ZC","344.75","343","338.75","349","351.5","355.75"
"ZS","949","937.75","919.5","967.25","974.25","992.5"
"ZW","414.25","408","391","431.25","442","459"
"TN","131.6875","131.359375","130.828125","132.21875","132.421875","132.953125"
"6S","103.05","102.4","101.34","104.11","104.52","105.58"
"NQ","6728.25","6681","6609.5","6799.75","6824","6895.5"
"NIY","23650","23480","23220","23910","24000","24260"
"YM","25619","25438","25162","25895","25990","26266"
"FGBL","160.13","159.89","159.4","160.62","160.87","161.36"
"FGBX","161.6","160.96","159.72","162.84","163.44","164.68"
"FDAX","13170","13115.5","13017.5","13268","13311.5","13409.5"
"FBTP","135.73","135.13","134.13","136.73","137.13","138.13"
"FOAT","154.07","153.86","153.41","154.52","154.76","155.21"
"FESX","3589","3579","3561","3607","3615","3633"
"R","123.3","123","122.38","123.92","124.24","124.86"
"Z","7701","7680","7642.5","7738.5","7755","7792.5"
