"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2739.5","2732.25","2720.75","2751","2755.25","2766.75"
"6E","1.1978","1.1944","1.18485","1.20735","1.2135","1.22305"
"6B","135.62","135.29","134.7","136.21","136.47","137.06"
"6J","88.535","88.325","87.94","88.92","89.095","89.48"
"6A","78.2","78","77.55","78.65","78.9","79.35"
"6C","80.395","80.23","79.84","80.785","81.01","81.4"
"NG","2.792","2.749","2.668","2.873","2.911","2.992"
"CL","61.41","61.08","60.48","62.01","62.28","62.88"
"RB","178.19","177.2","175.35","180.04","180.9","182.75"
"SI","17.05","16.955","16.74","17.265","17.385","17.6"
"HG","321.7","321","319.05","323.65","324.9","326.85"
"GC","1316.5","1312.7","1305.7","1323.5","1326.7","1333.7"
"ZT","106.890625","106.859375","106.8125","106.9375","106.953125","107"
"ZF","115.734375","115.6796875","115.5703125","115.84375","115.8984375","116.0078125"
"ZN","123.390625","123.296875","123.09375","123.59375","123.703125","123.90625"
"ZB","151.375","151.0625","150.34375","152.09375","152.5","153.21875"
"UB","165.0625","164.5625","163.4375","166.1875","166.8125","167.9375"
"ZC","345.75","344","339.5","350.25","353","357.5"
"ZS","961.25","955.5","944.75","972","977","987.75"
"ZW","425.25","422.75","417","431","434.25","440"
"TN","132.625","132.5","132.1875","132.9375","133.125","133.4375"
"6S","102.61","102.45","102.05","103.01","103.25","103.65"
"NQ","6664.5","6641","6604.75","6700.75","6713.5","6749.75"
"NIY","23840","23735","23570","24005","24065","24230"
"YM","25192","25133","24994","25331","25411","25550"
"FGBL","161.45","161.09","160.44","162.1","162.39","163.04"
"FGBX","163.32","162.58","161.28","164.62","165.18","166.48"
"FDAX","13329","13290.5","13214","13405.5","13443.5","13520"
"FBTP","135.9","135.46","134.72","136.64","136.94","137.68"
"FOAT","155.05","154.68","154.02","155.71","156","156.66"
"FESX","3597","3589","3574","3612","3619","3634"
"R","124.49","124.19","123.67","125.01","125.23","125.75"
"Z","7623","7608.5","7570","7661.5","7685.5","7724"
