"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2762","2751.5","2732.25","2781.25","2790","2809.25"
"6E","1.17825","1.17505","1.1687","1.1846","1.18775","1.1941"
"6B","133.81","133.32","132.36","134.77","135.24","136.2"
"6J","90.855","90.515","89.915","91.455","91.715","92.315"
"6A","76","75.78","75.2","76.58","76.94","77.52"
"6C","76.895","76.73","76.355","77.27","77.48","77.855"
"NG","2.889","2.848","2.76","2.977","3.024","3.112"
"CL","65.17","64.4","63.2","66.37","66.8","68"
"RB","208.7","205.91","201.47","213.14","214.79","219.23"
"SI","16.685","16.55","16.295","16.94","17.06","17.315"
"HG","325.15","322.75","317.25","330.65","333.75","339.25"
"GC","1299.2","1295.3","1287.4","1307.1","1311.1","1319"
"ZT","105.8125","105.75","105.59375","105.96875","106.0625","106.21875"
"ZF","113.109375","112.859375","112.359375","113.609375","113.859375","114.359375"
"ZN","119.140625","118.703125","117.84375","120","120.421875","121.28125"
"ZB","142.15625","141.0625","139","144.21875","145.1875","147.25"
"UB","155.34375","153.71875","150.78125","158.28125","159.59375","162.53125"
"ZC","373","370","362.75","380.25","384.5","391.75"
"ZS","965.75","957","932.25","990.5","1006.5","1031.25"
"ZW","517.75","509","490.75","536","545.5","563.75"
"TN","126.578125","125.953125","124.734375","127.796875","128.390625","129.609375"
"6S","101.61","101.14","100.37","102.38","102.68","103.45"
"NQ","7108.5","7056","6941","7223.5","7286","7401"
"NIY","22615","22510","22275","22850","22980","23215"
"YM","25151","25035","24834","25352","25437","25638"
"FGBL","159.2","158.76","157.69","160.27","160.9","161.97"
"FGBX","170.84","169.94","167.72","173.06","174.38","176.6"
"FDAX","12680.5","12550","12303","12927.5","13044","13291"
"FBTP","122.75","121.65","119.3","125.1","126.35","128.7"
"FOAT","151.11","150.9","150.46","151.55","151.78","152.22"
"FESX","3427","3397","3338","3486","3515","3574"
"R","121.45","121.27","120.85","121.87","122.11","122.53"
"Z","7661.5","7611.5","7508","7765","7818.5","7922"
