"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2555.5","2517.25","2413.75","2659","2724.25","2827.75"
"6E","1.22485","1.22055","1.2126","1.2328","1.23645","1.2444"
"6B","138.44","137.48","135.33","140.59","141.78","143.93"
"6J","91.45","90.86","89.86","92.45","92.86","93.86"
"6A","77.68","77.39","76.74","78.33","78.69","79.34"
"6C","79.28","79.095","78.69","79.685","79.905","80.31"
"NG","2.673","2.648","2.587","2.734","2.77","2.831"
"CL","60.28","59.4","57.64","62.04","62.92","64.68"
"RB","174.92","173.33","170.49","177.76","179.01","181.85"
"SI","16.22","16.1","15.885","16.435","16.53","16.745"
"HG","305.65","303.1","297.5","311.25","314.3","319.9"
"GC","1311","1303","1288.6","1325.4","1331.8","1346.2"
"ZT","106.625","106.578125","106.5","106.703125","106.734375","106.8125"
"ZF","114.375","114.1875","113.8125","114.75","114.9375","115.3125"
"ZN","120.5625","120.21875","119.546875","121.234375","121.5625","122.234375"
"ZB","143.5","142.90625","141.59375","144.8125","145.53125","146.84375"
"UB","155.75","154.875","153.15625","157.46875","158.3125","160.03125"
"ZC","364.25","363","360.25","367","368.5","371.25"
"ZS","980.25","972.5","957.75","995","1002","1016.75"
"ZW","451","445.5","433.5","463","469.5","481.5"
"TN","128.171875","127.75","126.859375","129.0625","129.53125","130.421875"
"6S","106.23","105.41","104.12","107.52","107.99","109.28"
"NQ","6211","6105","5796.25","6519.75","6722.5","7031.25"
"NIY","20845","20520","19625","21740","22310","23205"
"YM","23566","23161","22078","24649","25327","26410"
"FGBL","157.26","156.78","155.82","158.22","158.7","159.66"
"FGBX","158.14","157.2","155.26","160.08","161.08","163.02"
"FDAX","12037","11882","11476.5","12442.5","12693","13098.5"
"FBTP","135.65","135.2","134.04","136.81","137.52","138.68"
"FOAT","151.93","151.52","150.63","152.82","153.3","154.19"
"FESX","3317","3277","3176","3418","3479","3580"
"R","120.3","119.81","118.64","121.47","122.15","123.32"
"Z","7034","6962","6808","7188","7270","7424"
