"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2627","2599","2549","2677","2699","2749"
"6E","1.22735","1.2238","1.2178","1.23335","1.2358","1.2418"
"6B","138.08","137.74","136.97","138.85","139.28","140.05"
"6J","92.02","91.835","91.465","92.39","92.575","92.945"
"6A","78.11","77.83","77.3","78.64","78.89","79.42"
"6C","79.155","79","78.59","79.565","79.82","80.23"
"NG","2.527","2.503","2.44","2.59","2.629","2.692"
"CL","58.74","58.18","56.64","60.28","61.26","62.8"
"RB","165.63","163.41","157.12","171.92","175.99","182.28"
"SI","16.375","16.18","15.885","16.67","16.77","17.065"
"HG","305.55","302.45","297.35","310.65","312.65","317.75"
"GC","1319.5","1312.6","1301.4","1330.7","1335","1346.2"
"ZT","106.625","106.59375","106.515625","106.703125","106.75","106.828125"
"ZF","114.5078125","114.40625","114.2265625","114.6875","114.765625","114.9453125"
"ZN","120.671875","120.453125","120.0625","121.0625","121.234375","121.625"
"ZB","143.3125","142.21875","140.21875","145.3125","146.21875","148.21875"
"UB","155.1875","153.8125","151.25","157.75","158.9375","161.5"
"ZC","363.75","360.5","355.75","368.5","370","374.75"
"ZS","991","980.5","963.5","1008","1014.5","1031.5"
"ZW","453.75","443.75","428.25","469.25","474.75","490.25"
"TN","128.1875","127.796875","127.078125","128.90625","129.234375","129.953125"
"6S","106.6","106.43","106.03","107","107.23","107.63"
"NQ","6442.25","6352.75","6201","6594","6656.25","6808"
"NIY","21355","21075","20625","21805","21975","22425"
"YM","24296","24009","23506","24799","25015","25518"
"FGBL","157.63","157.3","156.71","158.22","158.48","159.07"
"FGBX","158.78","158.16","157.06","159.88","160.36","161.46"
"FDAX","12224","12145","11992.5","12376.5","12450","12602.5"
"FBTP","135.53","135.14","134.46","136.21","136.5","137.18"
"FOAT","152.27","151.97","151.43","152.81","153.05","153.59"
"FESX","3351","3330","3290","3391","3410","3450"
"R","120.86","120.59","120.13","121.32","121.51","121.97"
"Z","7081.5","7042","6967","7156.5","7192","7267"
