"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2681.75","2677.75","2669","2690.5","2695.25","2704"
"6E","1.1901","1.1874","1.18255","1.19495","1.1971","1.20195"
"6B","134.07","133.81","133.34","134.54","134.75","135.22"
"6J","88.695","88.585","88.415","88.865","88.925","89.095"
"6A","77.03","76.92","76.73","77.22","77.3","77.49"
"6C","78.36","78.055","77.495","78.92","79.175","79.735"
"NG","2.607","2.547","2.451","2.703","2.739","2.835"
"CL","58.07","57.68","57.09","58.66","58.86","59.45"
"RB","174.82","172.96","170.19","177.59","178.5","181.27"
"SI","16.25","16.05","15.735","16.565","16.68","16.995"
"HG","320.6","317.4","312.05","325.95","328.1","333.45"
"GC","1271.4","1264.1","1252.5","1283","1287.3","1298.9"
"ZT","107","106.984375","106.953125","107.03125","107.046875","107.078125"
"ZF","115.8515625","115.8203125","115.7421875","115.9296875","115.9765625","116.0546875"
"ZN","123.4375","123.390625","123.296875","123.53125","123.578125","123.671875"
"ZB","150.875","150.71875","150.40625","151.1875","151.34375","151.65625"
"UB","164.4375","164.1875","163.71875","164.90625","165.125","165.59375"
"ZC","350.75","349.75","348","352.5","353.25","355"
"ZS","957.5","954.75","949.5","962.75","965.25","970.5"
"ZW","423.25","421.5","417","427.75","430.5","435"
"TN","132.609375","132.546875","132.421875","132.734375","132.796875","132.921875"
"6S","101.65","101.51","101.23","101.93","102.07","102.35"
"NQ","6468.5","6453","6421.25","6500.25","6516.5","6548.25"
"NIY","22780","22725","22625","22880","22925","23025"
"YM","24717","24669","24559","24827","24889","24999"
"FGBL","161.63","161.48","161.22","161.89","162","162.26"
"FGBX","164.34","163.98","163.3","165.02","165.34","166.02"
"FDAX","13048","13024.5","12975.5","13097","13122.5","13171.5"
"FBTP","136.93","136.58","136.03","137.48","137.68","138.23"
"FOAT","155.67","155.53","155.26","155.94","156.07","156.34"
"FESX","3533","3525","3507","3551","3561","3579"
"R","124.45","124.29","124.04","124.7","124.79","125.04"
"Z","7515.5","7502","7469.5","7548","7567","7599.5"
