"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2583.75","2571.25","2550.75","2604.25","2612.25","2632.75"
"6E","1.17355","1.17125","1.1672","1.1776","1.17935","1.1834"
"6B","132.25","132.04","131.58","132.71","132.96","133.42"
"6J","88.815","88.615","88.205","89.225","89.435","89.845"
"6A","75.45","75.09","74.52","76.02","76.23","76.8"
"6C","78.005","77.71","77.2","78.515","78.73","79.24"
"NG","2.997","2.977","2.924","3.05","3.083","3.136"
"CL","56.37","55.91","55.04","57.24","57.65","58.52"
"RB","174.32","172.16","168.91","177.57","178.66","181.91"
"SI","16.895","16.825","16.69","17.03","17.095","17.23"
"HG","309.55","306.2","301.05","314.7","316.5","321.65"
"GC","1277.1","1272.4","1264.2","1285.3","1288.8","1297"
"ZT","107.375","107.34375","107.28125","107.4375","107.46875","107.53125"
"ZF","116.6171875","116.546875","116.3828125","116.78125","116.875","117.0390625"
"ZN","124.5625","124.421875","124.109375","124.875","125.046875","125.359375"
"ZB","153.65625","153.25","152.34375","154.5625","155.0625","155.96875"
"UB","167.15625","166.5625","165.28125","168.4375","169.125","170.40625"
"ZC","354.5","352.75","350","357.25","358.25","361"
"ZS","986.5","984","979.25","991.25","993.5","998.25"
"ZW","437","432.75","424.75","445","448.75","456.75"
"TN","133.734375","133.546875","133.109375","134.171875","134.421875","134.859375"
"6S","100.72","100.47","99.99","101.2","101.43","101.91"
"NQ","6332.5","6285.75","6213.25","6405","6430.75","6503.25"
"NIY","22495","22325","22070","22750","22835","23090"
"YM","23418","23294","23088","23624","23706","23912"
"FGBL","162.88","162.68","162.29","163.27","163.46","163.85"
"FGBX","166.14","165.32","163.84","167.62","168.28","169.76"
"FDAX","13057.5","12951.5","12773.5","13235.5","13307.5","13485.5"
"FBTP","139.93","139.63","138.99","140.57","140.91","141.55"
"FOAT","158.53","158.17","157.53","159.17","159.45","160.09"
"FESX","3553","3531","3492","3592","3609","3648"
"R","124.84","124.62","124.17","125.29","125.52","125.97"
"Z","7371","7338","7283","7426","7448","7503"
