"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2604","2576","2532","2648","2664","2708"
"6E","1.1994","1.19595","1.19","1.20535","1.20785","1.2138"
"6B","135.56","135.16","134.28","136.44","136.92","137.8"
"6J","91.355","90.905","90.115","92.145","92.485","93.275"
"6A","74.98","74.64","74.08","75.54","75.76","76.32"
"6C","77.6","77.315","76.795","78.12","78.355","78.875"
"NG","2.695","2.664","2.595","2.764","2.802","2.871"
"CL","67.62","66.8","65.51","68.91","69.38","70.67"
"RB","206.27","203.79","199.77","210.29","211.83","215.85"
"SI","16.355","16.26","16.04","16.575","16.7","16.92"
"HG","305.2","302.4","296.25","311.35","314.7","320.85"
"GC","1305.8","1298.9","1285.6","1319.1","1325.5","1338.8"
"ZT","106.03125","105.984375","105.921875","106.09375","106.109375","106.171875"
"ZF","113.4375","113.34375","113.15625","113.625","113.71875","113.90625"
"ZN","119.5","119.296875","118.9375","119.859375","120.015625","120.375"
"ZB","143.03125","142.46875","141.46875","144.03125","144.46875","145.46875"
"UB","155.6875","154.875","153.375","157.1875","157.875","159.375"
"ZC","405","401.75","397","409.75","411.25","416"
"ZS","1040","1026.75","1006.25","1060.5","1067.75","1088.25"
"ZW","526.5","515.25","498.25","543.5","549.25","566.25"
"TN","127.53125","127.21875","126.65625","128.09375","128.34375","128.90625"
"6S","100.38","100.17","99.76","100.79","100.99","101.4"
"NQ","6579.5","6494.25","6364.25","6709.5","6754.25","6884.25"
"NIY","22160","21965","21645","22480","22605","22925"
"YM","23615","23320","22866","24069","24228","24682"
"FGBL","158.69","158.11","157.21","159.59","159.91","160.81"
"FGBX","163.16","162.16","160.54","164.78","165.4","167.02"
"FDAX","12653","12603.5","12475.5","12781","12859.5","12987.5"
"FBTP","138.91","138.28","137.26","139.93","140.32","141.34"
"FOAT","153.67","153.15","152.33","154.49","154.79","155.61"
"FESX","3463","3453","3427","3489","3505","3531"
"R","121.95","121.31","120.28","122.98","123.37","124.4"
"Z","7436","7411","7349.5","7497.5","7534","7595.5"
