"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2697.5","2670.25","2627.25","2740.5","2756.25","2799.25"
"6E","1.15715","1.14755","1.13205","1.17265","1.17855","1.19405"
"6B","132.56","132.23","131.6","133.19","133.49","134.12"
"6J","91.705","91.45","90.86","92.295","92.63","93.22"
"6A","75.08","74.4","73.34","76.14","76.52","77.58"
"6C","76.955","76.23","75.02","78.165","78.65","79.86"
"NG","2.867","2.848","2.81","2.905","2.924","2.962"
"CL","66.85","65.49","63.23","69.11","70.01","72.27"
"RB","213.9","210.57","204.98","219.49","221.75","227.34"
"SI","16.395","16.24","16","16.635","16.72","16.96"
"HG","302.8","298.75","292.3","309.25","311.65","318.1"
"GC","1301.6","1296.8","1288.7","1309.7","1313","1321.1"
"ZT","106.125","106.015625","105.71875","106.421875","106.609375","106.90625"
"ZF","113.828125","113.546875","112.84375","114.53125","114.953125","115.65625"
"ZN","120.15625","119.6875","118.625","121.21875","121.8125","122.875"
"ZB","144.4375","143.4375","141.34375","146.53125","147.625","149.71875"
"UB","158.0625","156.6875","153.875","160.875","162.3125","165.125"
"ZC","389.5","385.75","376.75","398.5","403.75","412.75"
"ZS","1015","1006.75","990.5","1031.25","1039.25","1055.5"
"ZW","513","504","482.5","534.5","547","568.5"
"TN","128.25","127.609375","126.171875","129.6875","130.484375","131.921875"
"6S","100.9","100.57","100.01","101.46","101.69","102.25"
"NQ","6940.25","6893.25","6820.25","7013.25","7039.25","7112.25"
"NIY","22035","21810","21470","22375","22490","22830"
"YM","24427","24185","23801","24811","24953","25337"
"FGBL","161.35","160.68","159.25","162.78","163.54","164.97"
"FGBX","168.22","166.82","163.72","171.32","173.02","176.12"
"FDAX","12647","12551","12366.5","12831.5","12920","13104.5"
"FBTP","122.92","121","117.18","126.74","128.64","132.46"
"FOAT","155","154.66","153.96","155.7","156.06","156.76"
"FESX","3399","3375","3326","3448","3473","3522"
"R","124.02","123.64","123.01","124.65","124.9","125.53"
"Z","7597.5","7540","7429.5","7708","7761","7871.5"
