"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2641.75","2626.5","2592.25","2676","2695","2729.25"
"6E","1.23685","1.23485","1.23115","1.24055","1.24225","1.24595"
"6B","142.46","142.16","141.43","143.19","143.62","144.35"
"6J","93.195","92.93","92.44","93.685","93.91","94.4"
"6A","77.42","77.21","76.66","77.97","78.31","78.86"
"6C","79.24","79.095","78.69","79.645","79.905","80.31"
"NG","2.686","2.638","2.554","2.77","2.806","2.89"
"CL","66.86","66.34","65.4","67.8","68.22","69.16"
"RB","204.62","202.7","199.61","207.71","208.88","211.97"
"SI","16.515","16.365","16.135","16.745","16.825","17.055"
"HG","305.3","303.5","299.8","309","310.9","314.6"
"GC","1340.5","1333.1","1321.1","1352.5","1357.1","1369.1"
"ZT","106.125","106.078125","105.984375","106.21875","106.265625","106.359375"
"ZF","113.875","113.7890625","113.6015625","114.0625","114.1640625","114.3515625"
"ZN","120.359375","120.21875","119.953125","120.625","120.75","121.015625"
"ZB","145.125","144.84375","144.25","145.71875","146.03125","146.625"
"UB","158.40625","158.03125","157.21875","159.21875","159.65625","160.46875"
"ZC","384.5","382.75","378.75","388.5","390.75","394.75"
"ZS","1048.25","1042","1026.25","1064","1073.5","1089.25"
"ZW","467.75","462.75","451","479.5","486.25","498"
"TN","128.796875","128.609375","128.265625","129.140625","129.296875","129.640625"
"6S","104.28","104.08","103.68","104.68","104.88","105.28"
"NQ","6595.75","6550.5","6447.5","6698.75","6756.5","6859.5"
"NIY","21665","21565","21340","21890","22015","22240"
"YM","24162","23988","23585","24565","24794","25197"
"FGBL","159.08","158.82","158.42","159.48","159.62","160.02"
"FGBX","164.34","163.8","162.96","165.18","165.48","166.32"
"FDAX","12396","12338.5","12214.5","12520","12586.5","12710.5"
"FBTP","138.47","138.17","137.72","138.92","139.07","139.52"
"FOAT","154.06","153.78","153.35","154.49","154.64","155.07"
"FESX","3354","3340","3309","3385","3402","3433"
"R","121.75","121.46","120.99","122.22","122.4","122.87"
"Z","7180.5","7161","7128","7213.5","7227","7260"
