"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2852.5","2847","2833.25","2866.25","2874.5","2888.25"
"6E","1.153","1.1505","1.1436","1.1599","1.1643","1.1712"
"6B","127.85","127.44","126.32","128.97","129.68","130.8"
"6J","89.765","89.545","88.905","90.405","90.825","91.465"
"6A","72.08","71.69","70.58","73.19","73.91","75.02"
"6C","76.2","75.985","75.375","76.81","77.205","77.815"
"NG","2.939","2.915","2.871","2.983","3.003","3.047"
"CL","67.42","67.01","66.26","68.17","68.51","69.26"
"RB","194.35","193.18","190.98","196.55","197.58","199.78"
"SI","14.415","14.285","13.99","14.71","14.875","15.17"
"HG","262.3","259.1","253.65","267.75","270","275.45"
"GC","1188.5","1182.9","1169.9","1201.5","1208.9","1221.9"
"ZT","105.796875","105.78125","105.734375","105.84375","105.875","105.921875"
"ZF","113.6796875","113.6171875","113.484375","113.8125","113.8828125","114.015625"
"ZN","120.5","120.421875","120.25","120.671875","120.765625","120.9375"
"ZB","145.46875","145.25","144.90625","145.8125","145.9375","146.28125"
"UB","159.6875","159.375","158.84375","160.21875","160.4375","160.96875"
"ZC","358","355","346.5","366.5","372","380.5"
"ZS","847.5","841","821.75","866.75","879.5","898.75"
"ZW","514.75","507.5","492","530.25","538.5","554"
"TN","128.5625","128.453125","128.25","128.765625","128.859375","129.0625"
"6S","101.42","101.25","100.79","101.88","102.17","102.63"
"NQ","7401","7377.25","7317.25","7461","7497.25","7557.25"
"NIY","22400","22305","22155","22550","22605","22755"
"YM","25602","25532","25382","25752","25832","25982"
"FGBL","162.92","162.78","162.49","163.21","163.36","163.65"
"FGBX","178.26","177.96","177.2","179.02","179.48","180.24"
"FDAX","12342","12319","12264.5","12396.5","12428","12482.5"
"FBTP","123.28","122.86","121.84","124.3","124.9","125.92"
"FOAT","154.5","154.42","154.24","154.68","154.78","154.96"
"FESX","3412","3406","3392","3426","3434","3448"
"R","123.17","123.04","122.76","123.45","123.6","123.88"
"Z","7531","7502.5","7441","7592.5","7625.5","7687"
