"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2765","2750.5","2725.25","2790.25","2801","2826.25"
"6E","1.1659","1.16225","1.15635","1.1718","1.17405","1.17995"
"6B","132.75","132.53","132.03","133.25","133.53","134.03"
"6J","90.915","90.765","90.46","91.22","91.375","91.68"
"6A","74.05","73.91","73.52","74.44","74.69","75.08"
"6C","75.61","75.435","75.02","76.025","76.265","76.68"
"NG","2.914","2.878","2.774","3.018","3.086","3.19"
"CL","64.15","62.6","60.23","66.52","67.34","69.71"
"RB","200.88","197.37","191.89","206.36","208.33","213.81"
"SI","16.37","16.305","16.11","16.565","16.695","16.89"
"HG","308.65","306.65","301.55","313.75","316.85","321.95"
"GC","1278.2","1276.3","1271.1","1283.4","1286.7","1291.9"
"ZT","105.828125","105.796875","105.75","105.875","105.890625","105.9375"
"ZF","113.203125","113.1640625","113.0546875","113.3125","113.3828125","113.4921875"
"ZN","119.515625","119.4375","119.234375","119.71875","119.84375","120.046875"
"ZB","143.3125","143.0625","142.4375","143.9375","144.3125","144.9375"
"UB","157.1875","156.8125","155.90625","158.09375","158.625","159.53125"
"ZC","353","349.75","342.25","360.5","364.75","372.25"
"ZS","900.5","892.5","879.25","913.75","919","932.25"
"ZW","486.25","482.25","472.75","495.75","501.25","510.75"
"TN","127.234375","127.109375","126.78125","127.5625","127.765625","128.09375"
"6S","100.97","100.65","100.1","101.52","101.75","102.3"
"NQ","7229","7181.75","7105","7305.75","7335.25","7412"
"NIY","22525","22390","22110","22805","22950","23230"
"YM","24856","24695","24390","25161","25305","25610"
"FGBL","161","160.84","160.49","161.35","161.54","161.89"
"FGBX","171.56","171.04","169.84","172.76","173.44","174.64"
"FDAX","12734","12647.5","12439","12942.5","13064.5","13273"
"FBTP","127.49","126.7","125.45","128.74","129.2","130.45"
"FOAT","153.37","153.12","152.69","153.8","153.98","154.41"
"FESX","3436","3415","3367","3484","3511","3559"
"R","122.39","122.25","121.92","122.72","122.91","123.24"
"Z","7533","7501","7436.5","7597.5","7630","7694.5"
