"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2893","2884","2863.5","2913.5","2925","2945.5"
"6E","1.1645","1.16135","1.15405","1.1718","1.17595","1.18325"
"6B","129.94","129.66","129.11","130.49","130.76","131.31"
"6J","89.735","89.325","88.68","90.38","90.615","91.26"
"6A","72.34","72.11","71.49","72.96","73.35","73.97"
"6C","76.8","76.585","76.01","77.375","77.735","78.31"
"NG","2.851","2.827","2.784","2.894","2.913","2.956"
"CL","69.72","69.19","68.28","70.63","71.01","71.92"
"RB","200.09","199.27","197.73","201.63","202.35","203.89"
"SI","14.49","14.39","14.125","14.755","14.92","15.185"
"HG","269","266.2","261.05","274.15","276.5","281.65"
"GC","1200.1","1195.3","1183.6","1211.8","1218.7","1230.4"
"ZT","105.71875","105.671875","105.59375","105.796875","105.828125","105.90625"
"ZF","113.421875","113.3046875","113.1171875","113.609375","113.6796875","113.8671875"
"ZN","120.09375","119.9375","119.671875","120.359375","120.46875","120.734375"
"ZB","144.59375","144.25","143.6875","145.15625","145.375","145.9375"
"UB","158.65625","158.21875","157.53125","159.34375","159.59375","160.28125"
"ZC","355.25","354.25","351.5","358","359.75","362.5"
"ZS","825.75","819.75","804.5","841","850.25","865.5"
"ZW","526.75","518.75","499.5","546","557.25","576.5"
"TN","128.03125","127.8125","127.453125","128.390625","128.53125","128.890625"
"6S","103.1","102.92","102.61","103.41","103.54","103.85"
"NQ","7619.25","7589.5","7521.25","7687.5","7726","7794.25"
"NIY","22565","22395","21960","23000","23265","23700"
"YM","25915","25821","25601","26135","26261","26481"
"FGBL","162.39","161.79","160.85","163.33","163.67","164.61"
"FGBX","176.62","175.22","172.98","178.86","179.7","181.94"
"FDAX","12413","12338","12204","12547","12606","12740"
"FBTP","122.33","121.75","120.36","123.72","124.53","125.92"
"FOAT","154.08","153.67","153.04","154.71","154.93","155.56"
"FESX","3415","3401","3370","3446","3463","3494"
"R","122.7","122.44","122.02","123.12","123.28","123.7"
"Z","7472.5","7437.5","7356","7554","7600.5","7682"
