"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2644.5","2625","2590.5","2679","2694","2728.5"
"6E","1.23515","1.2316","1.2238","1.24295","1.2472","1.255"
"6B","142.06","141.47","140.5","143.03","143.41","144.38"
"6J","93.38","93.105","92.475","94.01","94.365","94.995"
"6A","77.4","77.23","76.9","77.73","77.89","78.22"
"6C","79.37","79.165","78.79","79.745","79.915","80.29"
"NG","2.656","2.626","2.575","2.707","2.728","2.779"
"CL","66.31","65.54","64.27","67.58","68.08","69.35"
"RB","203.97","202.47","199.38","207.06","208.65","211.74"
"SI","16.38","16.285","16.04","16.625","16.775","17.02"
"HG","302.85","299.4","291.25","311","315.7","323.85"
"GC","1333.6","1325.2","1305.3","1353.5","1365","1384.9"
"ZT","106.15625","106.109375","106","106.265625","106.328125","106.4375"
"ZF","113.859375","113.7265625","113.375","114.2109375","114.4296875","114.78125"
"ZN","120.265625","120.0625","119.515625","120.8125","121.15625","121.703125"
"ZB","144.84375","144.3125","143","146.15625","146.9375","148.25"
"UB","158","157.3125","155.59375","159.71875","160.75","162.46875"
"ZC","386","383.5","379.5","390","391.5","395.5"
"ZS","1051.25","1042","1027.75","1065.5","1070.5","1084.75"
"ZW","475.5","469.75","458.75","486.5","491.75","502.75"
"TN","128.609375","128.328125","127.5625","129.375","129.859375","130.625"
"6S","104.11","103.75","102.93","104.93","105.39","106.21"
"NQ","6610.5","6550.25","6448.75","6712","6753.25","6854.75"
"NIY","21650","21490","21235","21905","22000","22255"
"YM","24218","23976","23566","24628","24796","25206"
"FGBL","159.12","158.96","158.61","159.47","159.66","160.01"
"FGBX","164.34","163.74","162.44","165.64","166.34","167.64"
"FDAX","12320.5","12212","12044.5","12488","12547","12714.5"
"FBTP","138.26","137.98","137.43","138.81","139.08","139.63"
"FOAT","154.07","153.91","153.55","154.43","154.63","154.99"
"FESX","3342","3320","3285","3377","3390","3425"
"R","121.63","121.28","120.47","122.44","122.9","123.71"
"Z","7165","7141.5","7099.5","7207","7225.5","7267.5"
