"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2715.25","2706.75","2691.5","2730.5","2737.25","2752.5"
"6E","1.22935","1.2252","1.2138","1.24075","1.248","1.2594"
"6B","140.23","139.91","139.1","141.04","141.53","142.34"
"6J","94.275","94.035","93.445","94.865","95.215","95.805"
"6A","76.7","76.55","76.14","77.11","77.37","77.78"
"6C","76.45","76.325","76.065","76.71","76.845","77.105"
"NG","2.652","2.629","2.585","2.696","2.717","2.761"
"CL","62.47","61.4","59.6","64.27","65","66.8"
"RB","194.75","191.98","187.23","199.5","201.48","206.23"
"SI","16.08","15.98","15.755","16.305","16.43","16.655"
"HG","301.4","299.05","292.8","307.65","311.55","317.8"
"GC","1306.5","1301.2","1290.2","1317.5","1323.2","1334.2"
"ZT","106.125","106.09375","106.015625","106.203125","106.25","106.328125"
"ZF","113.7421875","113.640625","113.4140625","113.96875","114.09375","114.3203125"
"ZN","119.921875","119.734375","119.34375","120.3125","120.515625","120.90625"
"ZB","143.40625","142.9375","141.96875","144.375","144.875","145.84375"
"UB","155.90625","155.21875","153.84375","157.28125","157.96875","159.34375"
"ZC","372.75","371.25","367.75","376.25","378.25","381.75"
"ZS","1023","1017.75","1009.25","1031.5","1034.75","1043.25"
"ZW","450.25","447.75","441.75","456.25","459.75","465.75"
"TN","127.984375","127.734375","127.203125","128.515625","128.796875","129.328125"
"6S","105.21","104.93","104.23","105.91","106.33","107.03"
"NQ","6878.5","6839.75","6776.75","6941.5","6965.75","7028.75"
"NIY","21110","20935","20660","21385","21485","21760"
"YM","24650","24534","24339","24845","24924","25119"
"FGBL","157.93","157.8","157.56","158.17","158.28","158.52"
"FGBX","162.94","162.52","161.84","163.62","163.88","164.56"
"FDAX","12227.5","12132","11975","12384.5","12446","12603"
"FBTP","136.61","136.05","135.17","137.49","137.81","138.69"
"FOAT","152.9","152.73","152.45","153.18","153.29","153.57"
"FESX","3303","3280","3243","3340","3354","3391"
"R","121.19","120.98","120.4","121.77","122.14","122.72"
"Z","6965","6940.5","6902","7003.5","7017.5","7056"
