"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2711","2694.75","2667.5","2738.25","2749.25","2776.5"
"6E","1.1714","1.1683","1.16255","1.17715","1.1798","1.18555"
"6B","133.62","133.27","132.57","134.32","134.67","135.37"
"6J","91.115","90.61","89.715","92.01","92.4","93.295"
"6A","75.53","75.28","74.88","75.93","76.08","76.48"
"6C","77.39","77.145","76.605","77.93","78.225","78.765"
"NG","2.916","2.893","2.858","2.951","2.963","2.998"
"CL","70.2","69.69","68.31","71.58","72.45","73.83"
"RB","221.64","220.47","217.34","224.77","226.73","229.86"
"SI","16.5","16.315","16.025","16.79","16.895","17.185"
"HG","307.4","305.25","301.7","310.95","312.35","315.9"
"GC","1295.8","1287.2","1273.4","1309.6","1314.8","1328.6"
"ZT","106.015625","105.96875","105.875","106.109375","106.15625","106.25"
"ZF","113.328125","113.1953125","112.9375","113.5859375","113.7109375","113.96875"
"ZN","119.28125","119.078125","118.671875","119.6875","119.890625","120.296875"
"ZB","142.15625","141.53125","140.40625","143.28125","143.78125","144.90625"
"UB","155.3125","154.40625","152.84375","156.875","157.53125","159.09375"
"ZC","401.25","398.25","390","409.5","414.75","423"
"ZS","1030.25","1025","1009.75","1045.5","1055.5","1070.75"
"ZW","524.75","519.25","504","540","549.75","565"
"TN","127.09375","126.75","126.109375","127.734375","128.03125","128.671875"
"6S","100.7","100.38","99.75","101.33","101.64","102.27"
"NQ","6904.5","6852","6765.75","6990.75","7024.5","7110.75"
"NIY","22055","21790","21235","22610","22900","23455"
"YM","24637","24470","24189","24918","25032","25313"
"FGBL","159.6","158.98","158.02","160.56","160.9","161.86"
"FGBX","164.5","163.02","160.72","166.8","167.62","169.92"
"FDAX","12763","12681","12479","12965","13085","13287"
"FBTP","131.5","130.98","129.75","132.73","133.44","134.67"
"FOAT","153.87","153.36","152.57","154.66","154.94","155.73"
"FESX","3478","3455","3402","3531","3561","3614"
"R","122.21","121.76","121.05","122.92","123.18","123.89"
"Z","7685","7648.5","7561.5","7772","7822.5","7909.5"
