"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2615","2586.75","2503","2698.75","2754.25","2838"
"6E","1.2347","1.23075","1.22095","1.2445","1.25035","1.26015"
"6B","141.12","140.64","139.51","142.25","142.9","144.03"
"6J","94.865","94.485","93.765","95.585","95.925","96.645"
"6A","76.74","76.35","75.41","77.68","78.23","79.17"
"6C","77.24","76.945","76.24","77.945","78.355","79.06"
"NG","2.598","2.58","2.531","2.647","2.678","2.727"
"CL","63.76","63.21","61.72","65.25","66.19","67.68"
"RB","200.11","198.43","195.3","203.24","204.69","207.82"
"SI","16.285","16.18","15.915","16.55","16.71","16.975"
"HG","298.6","295.25","286.85","307","312.05","320.45"
"GC","1323.2","1318.9","1308.9","1333.2","1338.9","1348.9"
"ZT","106.1875","106.125","106","106.3125","106.375","106.5"
"ZF","113.890625","113.6796875","113.2890625","114.28125","114.4609375","114.8515625"
"ZN","120.140625","119.78125","119.109375","120.8125","121.125","121.796875"
"ZB","143.8125","142.875","141.125","145.5625","146.375","148.125"
"UB","156.4375","155.125","152.65625","158.90625","160.0625","162.53125"
"ZC","374.25","372.75","369.75","377.25","378.75","381.75"
"ZS","1022.75","1016","1003","1035.75","1042","1055"
"ZW","451.5","447.5","439.5","459.5","463.5","471.5"
"TN","128.234375","127.671875","126.640625","129.265625","129.734375","130.765625"
"6S","105.74","105.52","104.94","106.32","106.68","107.26"
"NQ","6614.25","6536.75","6309.25","6841.75","6991.75","7219.25"
"NIY","20585","20315","19640","21260","21665","22340"
"YM","23673","23382","22527","24528","25092","25947"
"FGBL","158.37","157.77","156.86","159.28","159.59","160.5"
"FGBX","164","162.96","161.36","165.6","166.16","167.76"
"FDAX","11951.5","11816","11520.5","12247","12407","12702.5"
"FBTP","137.06","136.58","135.78","137.86","138.18","138.98"
"FOAT","153.39","152.83","151.97","154.25","154.55","155.41"
"FESX","3216","3178","3095","3299","3344","3427"
"R","121.38","120.67","119.53","122.52","122.95","124.09"
"Z","6793","6724.5","6576","6941.5","7021.5","7170"
