"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2839","2828.25","2810.75","2856.5","2863.25","2880.75"
"6E","1.15695","1.15485","1.15105","1.16075","1.16245","1.16625"
"6B","129.28","128.91","128.05","130.14","130.63","131.49"
"6J","89.875","89.745","89.455","90.165","90.325","90.615"
"6A","73.76","73.6","73.29","74.07","74.22","74.53"
"6C","76.785","76.62","76.325","77.08","77.21","77.505"
"NG","2.835","2.809","2.77","2.874","2.887","2.926"
"CL","68.38","67.75","66.36","69.77","70.53","71.92"
"RB","205.04","203.57","200.42","208.19","209.87","213.02"
"SI","15.26","15.17","14.96","15.47","15.59","15.8"
"HG","270.75","268.35","263.45","275.65","278.15","283.05"
"GC","1213.2","1208.6","1197.7","1224.1","1230.4","1241.3"
"ZT","105.71875","105.703125","105.671875","105.75","105.765625","105.796875"
"ZF","113.25","113.15625","112.9921875","113.4140625","113.484375","113.6484375"
"ZN","119.546875","119.375","119.0625","119.859375","120","120.3125"
"ZB","142.90625","142.5625","141.90625","143.5625","143.875","144.53125"
"UB","156.40625","155.9375","155","157.34375","157.8125","158.75"
"ZC","383.25","381.25","378","386.5","387.75","391"
"ZS","886.75","879.75","864.75","901.75","909.75","924.75"
"ZW","558.75","543","518.75","583","591.5","615.75"
"TN","127.1875","126.953125","126.53125","127.609375","127.796875","128.21875"
"6S","100.48","100.26","99.82","100.92","101.14","101.58"
"NQ","7405.5","7367","7306.75","7465.75","7487.5","7547.75"
"NIY","22455","22365","22205","22615","22685","22845"
"YM","25377","25286","25131","25532","25596","25751"
"FGBL","162.01","161.66","161.13","162.54","162.72","163.25"
"FGBX","176.6","175.8","174.56","177.84","178.28","179.52"
"FDAX","12503.5","12429","12253","12679.5","12781","12957"
"FBTP","125.06","124.73","124.05","125.74","126.09","126.77"
"FOAT","153.71","153.43","152.99","154.15","154.31","154.75"
"FESX","3465","3452","3422","3495","3512","3542"
"R","122.7","122.4","121.93","123.17","123.34","123.81"
"Z","7574","7547","7490","7631","7661","7718"
