"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2742.25","2718.25","2675.5","2785","2803.75","2846.5"
"6E","1.1602","1.15505","1.14385","1.1714","1.17745","1.18865"
"6B","131.75","131.29","130.07","132.97","133.73","134.95"
"6J","90.995","90.575","89.725","91.845","92.275","93.125"
"6A","73.41","73.03","72.22","74.22","74.65","75.46"
"6C","75.215","75.02","74.49","75.745","76.08","76.61"
"NG","2.874","2.847","2.78","2.941","2.981","3.048"
"CL","64.2","63.5","62.04","65.66","66.42","67.88"
"RB","201.38","200.06","197.33","204.11","205.52","208.25"
"SI","16.195","16.065","15.76","16.5","16.675","16.98"
"HG","301.25","297.75","288.35","310.65","316.55","325.95"
"GC","1272.1","1265.6","1252","1285.7","1292.8","1306.4"
"ZT","105.796875","105.75","105.625","105.921875","106","106.125"
"ZF","113.2421875","113.09375","112.7578125","113.578125","113.765625","114.1015625"
"ZN","119.609375","119.375","118.859375","120.125","120.40625","120.921875"
"ZB","143.625","143.15625","142.125","144.65625","145.21875","146.25"
"UB","157.5625","156.875","155.34375","159.09375","159.9375","161.46875"
"ZC","343.5","333","315.75","360.75","367.5","384.75"
"ZS","856.5","824.25","766.5","914.25","939.75","997.5"
"ZW","467","456.25","433.75","489.5","501.25","523.75"
"TN","127.421875","127.109375","126.4375","128.09375","128.453125","129.125"
"6S","101","100.71","100.12","101.59","101.89","102.48"
"NQ","7183.25","7114","6997.25","7300","7347.5","7464.25"
"NIY","21970","21725","21130","22565","22915","23510"
"YM","24522","24328","23888","24962","25208","25648"
"FGBL","161.39","161.25","160.88","161.76","161.99","162.36"
"FGBX","172.9","172.22","170.92","174.2","174.82","176.12"
"FDAX","12593.5","12512.5","12370","12736","12797.5","12940"
"FBTP","127.84","127.42","126.66","128.6","128.94","129.7"
"FOAT","153.71","153.53","153.12","154.12","154.35","154.76"
"FESX","3405","3382","3341","3446","3464","3505"
"R","122.86","122.74","122.46","123.14","123.3","123.58"
"Z","7489","7442.5","7356.5","7575","7614.5","7700.5"
