"Symbol","Support 1","Support 2","Support 3","Resistance 1","Resistance 2","Resistance 3"
"ES","2502","2496","2487","2511","2514","2523"
"6E","1.1792","1.17425","1.16635","1.1871","1.19005","1.19795"
"6B","134.09","133.41","132.36","135.14","135.51","136.56"
"6J","88.825","88.37","87.635","89.56","89.84","90.575"
"6A","78.12","77.73","77.15","78.7","78.89","79.47"
"6C","80.11","79.69","79.04","80.76","80.99","81.64"
"NG","2.991","2.964","2.898","3.057","3.096","3.162"
"CL","50.93","50.31","48.76","52.48","53.41","54.96"
"RB","159.76","158.04","154.78","163.02","164.56","167.82"
"SI","16.725","16.61","16.4","16.935","17.03","17.24"
"HG","292.8","287.45","279.05","301.2","304.25","312.65"
"GC","1282.3","1276","1265.2","1293.1","1297.6","1308.4"
"ZT","107.84375","107.78125","107.6875","107.9375","107.96875","108.0625"
"ZF","117.46875","117.28125","116.9921875","117.7578125","117.859375","118.1484375"
"ZN","125.234375","124.90625","124.421875","125.71875","125.875","126.359375"
"ZB","152.15625","151.5625","150.5","153.21875","153.6875","154.75"
"UB","163.90625","163.125","161.75","165.28125","165.875","167.25"
"ZC","351","349.25","346.25","354","355.25","358.25"
"ZS","956","952.75","944.75","964","968.75","976.75"
"ZW","452.25","449.25","441.5","460","464.75","472.5"
"TN","134.09375","133.6875","133.046875","134.734375","134.96875","135.609375"
"6S","103.19","102.78","102.16","103.81","104.02","104.64"
"NQ","5919","5899.25","5865","5953.25","5967.75","6002"
"NIY","20280","20230","20120","20390","20450","20560"
"YM","22258","22197","22094","22361","22403","22506"
"FGBL","160.37","159.95","159.24","161.08","161.37","162.08"
"FGBX","161.62","160.84","159.54","162.92","163.44","164.74"
"FDAX","12658.5","12627","12567.5","12718","12746","12805.5"
"FBTP","134.33","133.7","132.75","135.28","135.6","136.55"
"FOAT","154.49","154.07","153.4","155.16","155.41","156.08"
"FESX","3545","3540","3530","3555","3560","3570"
"R","123.24","122.84","122.14","123.94","124.24","124.94"
"Z","7254","7231","7192","7293","7309","7348"
